mass_1	mass_2	phase	time	distance	a_1	a_2	tilt_1	tilt_2	phi_12	phi_jl	theta_jn	psi	ra	dec
0.47893	0.40925	0.05018	0.81729	0.19064	0.07571	0.05895	0.03083	0.01468	0.04937	0.08086	0.43111	0.05021	0.87906	0.47427
0.48782	0.4198	0.0463	0.82661	0.18442	0.07357	0.05693	0.02957	0.01502	0.04651	0.08133	0.4366	0.04855	0.88356	0.47798
0.50276	0.43699	0.04546	0.83047	0.18289	0.07207	0.05222	0.0287	0.01586	0.04635	0.0838	0.43673	0.04889	0.88199	0.47591
0.50605	0.43158	0.04678	0.78249	0.18672	0.07094	0.05172	0.02871	0.0154	0.04627	0.08247	0.43204	0.04965	0.89904	0.48501
0.50613	0.42979	0.04606	0.79368	0.18648	0.06803	0.05086	0.02998	0.01501	0.04659	0.08414	0.43356	0.04883	0.87949	0.48303
0.49865	0.4314	0.04698	0.78129	0.18418	0.06936	0.0527	0.03035	0.01577	0.04733	0.08458	0.42807	0.04833	0.90052	0.47853
0.49471	0.43082	0.04612	0.7781	0.18579	0.07101	0.05333	0.02891	0.0148	0.04643	0.08185	0.42857	0.04955	0.89889	0.48244
0.49545	0.44189	0.04705	0.79749	0.18905	0.07025	0.05006	0.0284	0.01522	0.04721	0.08418	0.42825	0.0487	0.87663	0.47636
0.48938	0.44864	0.04695	0.79518	0.18722	0.07051	0.05072	0.02982	0.01458	0.04676	0.08297	0.43077	0.05037	0.91753	0.48033
0.48817	0.45314	0.04732	0.78519	0.1877	0.07124	0.04964	0.03048	0.01563	0.04671	0.08427	0.4302	0.05005	0.87667	0.47727
0.48742	0.45903	0.0452	0.79598	0.18275	0.06797	0.052	0.03034	0.01471	0.04672	0.08438	0.43229	0.04789	0.87559	0.47967
0.4911	0.46128	0.04586	0.80235	0.18537	0.06871	0.0509	0.02885	0.01494	0.04685	0.08479	0.43266	0.04949	0.88884	0.47994
0.48362	0.46407	0.04712	0.79538	0.18516	0.07044	0.05187	0.02852	0.01407	0.04882	0.08605	0.42766	0.04873	0.87762	0.47916
0.48457	0.46137	0.04533	0.77677	0.18339	0.06793	0.05051	0.03052	0.01446	0.04646	0.08283	0.42523	0.04927	0.88992	0.48028
0.48735	0.46119	0.04506	0.78287	0.18407	0.07117	0.05184	0.03005	0.01503	0.04764	0.08313	0.425	0.04984	0.87904	0.47895
0.48956	0.4503	0.04673	0.78886	0.18748	0.06882	0.05114	0.02984	0.01469	0.04634	0.08413	0.42715	0.04862	0.88921	0.48083
0.50416	0.4595	0.04669	0.79085	0.18609	0.0689	0.05088	0.02954	0.01507	0.04733	0.08377	0.42539	0.04796	0.89912	0.48623
0.49921	0.43566	0.04668	0.7941	0.18732	0.06913	0.05054	0.02847	0.0146	0.04693	0.08482	0.42786	0.04855	0.89726	0.48079
0.50568	0.4564	0.04684	0.79281	0.18672	0.06974	0.05188	0.03009	0.01413	0.04721	0.08512	0.42655	0.04963	0.88146	0.48249
0.50028	0.45615	0.04618	0.79667	0.18965	0.07029	0.05262	0.02936	0.01532	0.04704	0.08409	0.4263	0.04962	0.89244	0.47967
0.49919	0.44673	0.04553	0.79297	0.18737	0.07048	0.05189	0.02831	0.01481	0.04766	0.08402	0.427	0.04756	0.88827	0.48077
0.49888	0.45219	0.0463	0.79114	0.18565	0.06939	0.05077	0.03002	0.01454	0.04673	0.08571	0.42564	0.04798	0.88319	0.48259
0.50205	0.452	0.04512	0.78591	0.1885	0.06792	0.05164	0.02923	0.01468	0.04751	0.08491	0.42461	0.04781	0.87358	0.4757
0.49583	0.44397	0.0448	0.79576	0.18522	0.06864	0.05125	0.02981	0.0137	0.04781	0.08703	0.42578	0.04891	0.90673	0.47193
0.49483	0.45157	0.04462	0.79891	0.1845	0.06895	0.05029	0.03005	0.01545	0.04611	0.08408	0.42647	0.04817	0.89435	0.47837
0.502	0.44234	0.04621	0.79058	0.18593	0.07026	0.05159	0.02989	0.01421	0.0464	0.0848	0.42411	0.04947	0.89672	0.48146
0.49828	0.44844	0.04528	0.79342	0.1869	0.07046	0.05139	0.02974	0.01488	0.04674	0.0834	0.42789	0.04862	0.88339	0.48374
0.50793	0.44883	0.04609	0.78974	0.18649	0.07001	0.04852	0.02849	0.01434	0.04538	0.08573	0.42763	0.0482	0.87831	0.48598
0.50047	0.4316	0.04618	0.7817	0.18269	0.0694	0.05037	0.02975	0.01522	0.04608	0.08287	0.42529	0.04777	0.88439	0.48471
0.49506	0.44676	0.04621	0.7784	0.18586	0.07014	0.05199	0.0302	0.01521	0.04538	0.08371	0.42909	0.0477	0.88969	0.48055
0.50037	0.44348	0.04536	0.78857	0.18344	0.06893	0.05066	0.02995	0.01476	0.04597	0.08478	0.43004	0.04845	0.90849	0.47599
0.50395	0.44311	0.04622	0.78442	0.18285	0.06893	0.04967	0.02913	0.01427	0.04757	0.0852	0.43166	0.04676	0.90422	0.47736
0.49421	0.4418	0.04628	0.79675	0.18316	0.06874	0.0508	0.02871	0.01487	0.04563	0.08581	0.42977	0.04853	0.89371	0.48556
0.49796	0.44007	0.04601	0.79685	0.18186	0.06963	0.05178	0.02933	0.01474	0.04617	0.08249	0.4299	0.04801	0.88851	0.48595
0.50108	0.44585	0.04454	0.7905	0.187	0.06918	0.05007	0.02931	0.01475	0.04598	0.08457	0.42719	0.04846	0.87728	0.48321
0.49744	0.43617	0.04622	0.78202	0.18919	0.06872	0.04983	0.02941	0.01478	0.0461	0.08367	0.42923	0.04832	0.8732	0.48445
0.50093	0.42764	0.04616	0.78893	0.18735	0.07078	0.05063	0.02991	0.01486	0.04603	0.08479	0.42823	0.04853	0.88641	0.48068
0.50278	0.4303	0.0475	0.7916	0.18677	0.0676	0.05192	0.03006	0.0151	0.04797	0.08503	0.42708	0.04935	0.89235	0.47537
0.5052	0.43849	0.04597	0.79288	0.18988	0.06973	0.04982	0.03029	0.01419	0.0455	0.08432	0.42923	0.04866	0.89922	0.47844
0.50325	0.42882	0.04542	0.79255	0.18928	0.06923	0.05151	0.02977	0.0155	0.04517	0.08454	0.42553	0.04723	0.89841	0.47992
0.49909	0.43048	0.04569	0.78961	0.18711	0.0685	0.05175	0.03106	0.01456	0.04577	0.08529	0.42653	0.04741	0.88277	0.48571
0.49997	0.43041	0.04586	0.79542	0.18787	0.06906	0.05061	0.02879	0.01478	0.04623	0.08526	0.4284	0.04676	0.88119	0.48031
0.50287	0.44618	0.04561	0.79135	0.18806	0.06693	0.05158	0.02919	0.01345	0.04582	0.08501	0.43211	0.04671	0.87677	0.48242
0.50019	0.43764	0.04516	0.80122	0.19075	0.06819	0.05163	0.03083	0.01546	0.04663	0.0834	0.42791	0.04775	0.87663	0.48126
0.50403	0.43462	0.04632	0.79293	0.19272	0.0687	0.05091	0.02833	0.01423	0.04583	0.08469	0.43034	0.04802	0.88899	0.48075
0.50178	0.43222	0.04596	0.79489	0.19369	0.07038	0.05144	0.02913	0.01535	0.04553	0.08507	0.42684	0.04943	0.87858	0.48142
0.49846	0.43947	0.04465	0.7959	0.19874	0.06771	0.05214	0.02858	0.01438	0.04577	0.08435	0.4265	0.04793	0.88532	0.48088
0.50582	0.43706	0.04556	0.7927	0.1987	0.06805	0.05166	0.0306	0.01441	0.04663	0.08522	0.42713	0.04823	0.87107	0.48328
0.50494	0.43519	0.0461	0.78874	0.1988	0.06916	0.05143	0.02889	0.01474	0.04523	0.08363	0.42545	0.04888	0.90244	0.48241
0.50567	0.4417	0.04628	0.78995	0.20419	0.06871	0.05125	0.03023	0.0147	0.04549	0.08519	0.4283	0.04838	0.89891	0.4819
0.50078	0.44199	0.04637	0.78493	0.20474	0.06833	0.05058	0.0301	0.01472	0.04577	0.08347	0.42494	0.04851	0.86737	0.48392
0.49985	0.44453	0.0453	0.79746	0.20694	0.06852	0.05084	0.02924	0.01449	0.04567	0.08335	0.42631	0.04816	0.89444	0.48147
0.50374	0.4475	0.04515	0.79487	0.20606	0.06934	0.05063	0.02856	0.01468	0.04535	0.08553	0.43034	0.04711	0.8891	0.47824
0.49667	0.44332	0.04492	0.78555	0.20899	0.06752	0.0502	0.02945	0.01481	0.04552	0.08343	0.42303	0.04853	0.90344	0.47747
0.49215	0.44447	0.04473	0.78606	0.20927	0.06804	0.05045	0.03006	0.01539	0.04494	0.0826	0.42605	0.04757	0.88886	0.47856
