mass_ratio	chirp_mass	luminosity_distance	dec	ra	theta_jn	psi	phase	a_1	a_2	tilt_1	tilt_2	phi_12	phi_jl	geocent_time
0.31567	0.46262	0.31642	0.80154	0.60912	0.51617	0.09684	0.10557	0.18091	0.24803	0.20866	0.16527	0.15289	0.09232	0.8441
0.34136	0.47637	0.26739	0.75684	0.54009	0.47159	0.14821	0.09078	0.208	0.19036	0.1846	0.1732	0.11929	0.15198	0.83668
0.33892	0.45992	0.32172	0.76929	0.52834	0.45232	0.10506	0.13153	0.21151	0.24629	0.17377	0.18282	0.10128	0.11787	0.83107
0.33708	0.43652	0.30787	0.81202	0.5064	0.49278	0.15536	0.13015	0.23158	0.20655	0.20213	0.16657	0.12433	0.1137	0.8499
0.27126	0.47083	0.29544	0.78662	0.54863	0.49868	0.1003	0.13429	0.23262	0.22439	0.1826	0.17745	0.12691	0.12964	0.84994
0.2816	0.40257	0.25991	0.76452	0.57416	0.38096	0.08449	0.1477	0.24413	0.20945	0.21408	0.16667	0.14121	0.12179	0.83302
0.36163	0.41681	0.25205	0.74673	0.57266	0.43461	0.11779	0.12813	0.21948	0.2347	0.22365	0.2493	0.11527	0.13175	0.83595
0.28911	0.42025	0.33713	0.82382	0.57183	0.42176	0.11243	0.13476	0.1779	0.19972	0.14797	0.20272	0.12149	0.08873	0.85483
0.29759	0.43545	0.26541	0.81737	0.56225	0.45916	0.10097	0.11745	0.22414	0.20868	0.22369	0.20175	0.11523	0.12139	0.83486
0.33316	0.49478	0.28361	0.74603	0.54034	0.41216	0.12592	0.11274	0.22064	0.20358	0.22229	0.24755	0.12817	0.09103	0.81845
0.27164	0.45255	0.28759	0.77824	0.55507	0.48946	0.09983	0.13774	0.17516	0.18126	0.22756	0.29583	0.11965	0.13608	0.83305
0.29334	0.41661	0.3268	0.75423	0.52452	0.50223	0.13176	0.12726	0.18611	0.24638	0.19372	0.18438	0.14285	0.10272	0.84255
