mass_1	mass_2	phase	time	distance	a_1	a_2	tilt_1	tilt_2	phi_12	phi_jl	theta_jn	psi	ra	dec
0.70358	0.58881	0.04953	0.64178	0.21195	0.08814	0.05139	0.01381	0.01115	0.0499	0.04864	0.17805	0.04736	0.19418	0.08181
0.70361	0.56479	0.04776	0.62359	0.21137	0.08683	0.0518	0.01359	0.01077	0.04794	0.04621	0.17423	0.04821	0.18451	0.07879
0.70564	0.55781	0.0471	0.62874	0.2091	0.08282	0.05029	0.01271	0.01067	0.04664	0.04585	0.17435	0.04615	0.1783	0.07838
0.69989	0.55624	0.04623	0.63187	0.20764	0.08097	0.05162	0.01315	0.01043	0.04529	0.04587	0.17684	0.04627	0.17945	0.07893
0.70381	0.56187	0.04628	0.63185	0.20653	0.08253	0.05018	0.01371	0.01032	0.04652	0.04591	0.17682	0.04653	0.17811	0.07819
0.70208	0.56397	0.04638	0.62954	0.20859	0.08246	0.05233	0.014	0.01041	0.0475	0.04489	0.17485	0.04557	0.17698	0.08042
0.69885	0.56191	0.04657	0.6312	0.20591	0.08122	0.05121	0.0145	0.01173	0.046	0.04566	0.17499	0.04689	0.18164	0.07876
0.69931	0.55691	0.04577	0.63336	0.21026	0.08441	0.05063	0.01311	0.01045	0.04604	0.0458	0.17342	0.04595	0.18187	0.07903
0.69618	0.55427	0.04633	0.63094	0.20961	0.08183	0.05105	0.01378	0.01056	0.04615	0.04528	0.17582	0.04588	0.17716	0.07931
0.69502	0.55662	0.04616	0.62795	0.20997	0.08264	0.05035	0.01383	0.01014	0.04715	0.04579	0.1757	0.04569	0.17719	0.07921
0.69668	0.55885	0.04818	0.62291	0.20798	0.08293	0.04947	0.01457	0.01082	0.04594	0.04581	0.17757	0.04662	0.17722	0.07789
0.69498	0.55404	0.04699	0.63462	0.20882	0.08247	0.05082	0.01386	0.01004	0.04597	0.0458	0.17458	0.04672	0.17549	0.07992
0.69424	0.56042	0.04614	0.63428	0.2127	0.08535	0.04995	0.013	0.01071	0.04605	0.04534	0.17437	0.04642	0.17863	0.08124
0.693	0.56442	0.04611	0.63522	0.21355	0.08192	0.04851	0.01346	0.01042	0.04588	0.04507	0.17299	0.04619	0.17866	0.07974
0.69518	0.54437	0.04616	0.62977	0.21185	0.08297	0.04872	0.01361	0.01018	0.04746	0.04627	0.17524	0.04575	0.18074	0.07732
0.69294	0.55184	0.04709	0.63154	0.2143	0.08327	0.0497	0.01285	0.01039	0.04652	0.04552	0.17762	0.04514	0.18065	0.08035
0.69602	0.56464	0.0472	0.62558	0.21118	0.08346	0.05093	0.01403	0.01026	0.04599	0.04574	0.17436	0.04586	0.17763	0.0794
0.69549	0.56154	0.04601	0.62351	0.2104	0.08173	0.04943	0.01309	0.0104	0.04602	0.04655	0.17479	0.04523	0.17867	0.07884
0.69258	0.56329	0.04586	0.62585	0.21274	0.08268	0.04975	0.01369	0.00988	0.04624	0.04604	0.1738	0.04634	0.17469	0.07993
0.68973	0.56388	0.04609	0.62777	0.21199	0.08072	0.04843	0.01456	0.01047	0.04606	0.04565	0.17543	0.04625	0.17816	0.07904
0.69185	0.56163	0.04719	0.62886	0.21139	0.08153	0.04974	0.01346	0.01004	0.04573	0.04603	0.17737	0.04492	0.17971	0.07954
0.69254	0.554	0.04772	0.63183	0.21528	0.08049	0.04937	0.01351	0.0104	0.04686	0.04587	0.17726	0.04433	0.18108	0.08154
0.68685	0.56015	0.04558	0.63634	0.21422	0.08226	0.04967	0.01317	0.00984	0.04565	0.04441	0.17817	0.04577	0.17731	0.0793
0.68864	0.55907	0.04663	0.62755	0.21379	0.08238	0.0502	0.01324	0.00974	0.04659	0.04458	0.1776	0.04589	0.17847	0.07858
0.6925	0.56817	0.04753	0.62604	0.21504	0.083	0.05002	0.01373	0.01032	0.04697	0.04575	0.17818	0.04515	0.17598	0.07882
0.6935	0.55448	0.04646	0.63251	0.21585	0.08215	0.04904	0.01424	0.00984	0.04589	0.0461	0.17204	0.04598	0.17956	0.07836
0.69153	0.55023	0.04655	0.62961	0.21526	0.08212	0.04916	0.01369	0.01027	0.04652	0.04638	0.17501	0.04546	0.17667	0.07872
0.69031	0.55527	0.04651	0.63337	0.21468	0.08333	0.04969	0.01358	0.00994	0.04697	0.04485	0.17593	0.04597	0.17769	0.07934
