mass_1	mass_2	phase	time	distance	a_1	a_2	tilt_1	tilt_2	phi_12	phi_jl	theta_jn	psi	ra	dec
0.50471	0.43665	0.04459	0.79548	0.1844	0.06678	0.04901	0.03013	0.01552	0.04608	0.08723	0.41828	0.04816	0.92329	0.46972
0.50379	0.43808	0.04639	0.79803	0.1847	0.06822	0.0493	0.02917	0.01628	0.04527	0.08559	0.41533	0.04861	0.88685	0.4803
0.509	0.43319	0.04595	0.79962	0.18777	0.06615	0.04906	0.03055	0.01566	0.04594	0.0855	0.41625	0.04767	0.90258	0.47981
0.49955	0.43416	0.04572	0.79104	0.19195	0.06828	0.04954	0.02947	0.01513	0.04467	0.08454	0.41127	0.04891	0.88366	0.47705
0.49196	0.42839	0.0465	0.79135	0.1896	0.06794	0.04915	0.03081	0.01459	0.04476	0.08777	0.41497	0.0491	0.88477	0.48488
0.51492	0.44055	0.04614	0.78954	0.18769	0.06714	0.04915	0.031	0.01497	0.0435	0.08734	0.41621	0.04875	0.90183	0.48259
0.50509	0.42978	0.04532	0.79702	0.18723	0.06862	0.04981	0.02938	0.01609	0.04656	0.08536	0.41706	0.04923	0.89787	0.47401
0.49938	0.42887	0.04493	0.79734	0.18795	0.06792	0.0492	0.02892	0.01653	0.04505	0.0831	0.41788	0.04863	0.90147	0.48288
0.49827	0.43688	0.04529	0.78781	0.19207	0.0682	0.04892	0.0304	0.01495	0.04524	0.08485	0.41866	0.04876	0.88358	0.48151
0.5148	0.43409	0.04575	0.7916	0.19554	0.06822	0.04895	0.03009	0.01527	0.04504	0.08811	0.41589	0.04766	0.8986	0.47651
0.50458	0.43284	0.04462	0.79474	0.19829	0.06709	0.04776	0.02936	0.01618	0.04658	0.08572	0.41755	0.04873	0.89697	0.47924
0.50459	0.43446	0.04571	0.78363	0.20133	0.06812	0.04923	0.02934	0.01706	0.04503	0.08772	0.41711	0.04817	0.88429	0.47942
0.50688	0.4329	0.04648	0.78834	0.19732	0.06733	0.04892	0.02809	0.01539	0.0453	0.08473	0.41457	0.04788	0.8852	0.4697
0.50979	0.42749	0.04631	0.78898	0.20196	0.06867	0.05015	0.02963	0.0153	0.04648	0.0841	0.41271	0.04722	0.88467	0.47393
0.49604	0.43378	0.0464	0.78729	0.20511	0.06802	0.04917	0.03046	0.01577	0.04484	0.08396	0.41733	0.04759	0.89483	0.47368
0.50055	0.42871	0.0454	0.78476	0.20595	0.06703	0.04796	0.03084	0.01551	0.04622	0.08402	0.41737	0.04734	0.89065	0.48099
