mass_ratio	chirp_mass	luminosity_distance	dec	ra	theta_jn	psi	phase	a_1	a_2	tilt_1	tilt_2	phi_12	phi_jl	geocent_time
0.24551	0.39339	0.29172	0.78364	0.58506	0.46723	0.1332	0.1298	0.22032	0.2039	0.19678	0.20349	0.12802	0.11923	0.81023
0.24937	0.43956	0.27018	0.7776	0.57936	0.45868	0.14786	0.13343	0.21964	0.23959	0.18943	0.22647	0.13944	0.13518	0.84811
0.28139	0.41511	0.31465	0.78234	0.58461	0.50995	0.13316	0.1308	0.23452	0.22707	0.2066	0.21153	0.13366	0.12748	0.82243
0.28135	0.44078	0.28912	0.76662	0.57504	0.48738	0.12376	0.14009	0.22243	0.22739	0.21849	0.23979	0.13347	0.14807	0.813
0.27443	0.44526	0.28569	0.7778	0.5723	0.44219	0.12757	0.13647	0.23736	0.23602	0.22262	0.22592	0.12241	0.14389	0.85168
0.26767	0.43134	0.27896	0.77217	0.5785	0.4284	0.13371	0.13048	0.24653	0.21978	0.19523	0.21859	0.1296	0.14053	0.83349
0.24898	0.41697	0.27828	0.76029	0.61394	0.44083	0.13438	0.14057	0.23819	0.21556	0.20709	0.20295	0.14955	0.14233	0.85522
0.26318	0.44968	0.26446	0.78311	0.58711	0.43822	0.1297	0.12926	0.25397	0.23635	0.20167	0.21791	0.13741	0.12972	0.81672
0.25176	0.42663	0.28832	0.77548	0.56011	0.4421	0.12168	0.13506	0.23457	0.22771	0.18519	0.21982	0.13876	0.14309	0.79735
0.29486	0.43207	0.27326	0.78215	0.56532	0.44556	0.12952	0.13046	0.24186	0.22696	0.19996	0.20126	0.12309	0.1347	0.8071
0.27711	0.4201	0.26845	0.78107	0.57563	0.44498	0.13411	0.12137	0.25951	0.24359	0.19877	0.19946	0.11965	0.13858	0.84021
0.29376	0.39386	0.303	0.80209	0.58066	0.50433	0.14874	0.12863	0.24195	0.24991	0.189	0.18281	0.13087	0.14447	0.83154
0.28073	0.42701	0.28438	0.78017	0.59169	0.51503	0.12892	0.12814	0.24358	0.24992	0.19964	0.18936	0.13029	0.13368	0.82025
0.27069	0.41407	0.28563	0.76923	0.58546	0.48596	0.15369	0.1288	0.23534	0.22325	0.20227	0.18876	0.12882	0.14759	0.81499
0.2768	0.41985	0.2774	0.7694	0.57682	0.43631	0.1286	0.14426	0.26752	0.21095	0.19993	0.18509	0.12751	0.12259	0.80992
0.27389	0.40582	0.27344	0.79846	0.56559	0.47021	0.13015	0.1269	0.26731	0.20333	0.19759	0.2008	0.14408	0.14214	0.82722
0.2761	0.44023	0.3025	0.78286	0.57496	0.44236	0.12893	0.11762	0.27564	0.22302	0.21056	0.18061	0.12571	0.12979	0.82969
0.26494	0.43768	0.29067	0.77764	0.59217	0.4039	0.14027	0.14418	0.28113	0.21873	0.2087	0.21688	0.1283	0.13813	0.82086
0.25878	0.43331	0.29216	0.77642	0.56105	0.3919	0.13149	0.12562	0.26284	0.23187	0.19655	0.19891	0.12128	0.13878	0.82844
0.26349	0.43985	0.27947	0.77353	0.56479	0.41458	0.1329	0.13829	0.24838	0.21765	0.21125	0.19545	0.13671	0.14448	0.80652
0.2676	0.42526	0.29226	0.79861	0.55857	0.42781	0.14489	0.12635	0.2626	0.1948	0.19262	0.18861	0.14596	0.12479	0.80512
0.29955	0.46045	0.28015	0.80625	0.54687	0.42494	0.12826	0.12106	0.24525	0.21495	0.20102	0.18889	0.1373	0.13975	0.83401
0.3054	0.41391	0.27991	0.82046	0.54672	0.43649	0.13917	0.13747	0.23298	0.22074	0.18605	0.19209	0.12909	0.14322	0.83259
0.29065	0.43506	0.30012	0.76924	0.55493	0.39119	0.13183	0.13492	0.23061	0.22909	0.19001	0.1945	0.13715	0.12588	0.81057
0.31811	0.39939	0.27848	0.80842	0.56524	0.44572	0.11712	0.14587	0.22479	0.20839	0.2291	0.19216	0.12758	0.1539	0.81374
0.28096	0.46323	0.27916	0.79529	0.55476	0.44469	0.13138	0.14915	0.26437	0.24081	0.21153	0.19831	0.12739	0.11469	0.82079
0.26108	0.40237	0.28507	0.80625	0.54972	0.45099	0.12555	0.13479	0.25643	0.2517	0.20209	0.18225	0.14839	0.12379	0.84625
0.27026	0.41375	0.28048	0.80374	0.53119	0.46877	0.13589	0.13209	0.23083	0.21679	0.215	0.18765	0.13302	0.13763	0.821
0.26654	0.45479	0.30425	0.77818	0.57056	0.45495	0.14585	0.13114	0.24661	0.20792	0.19795	0.20918	0.1395	0.15116	0.81861
0.28786	0.40503	0.30385	0.75948	0.55038	0.43987	0.13294	0.13471	0.24541	0.21459	0.20324	0.20062	0.13884	0.12213	0.82756
0.25158	0.43444	0.29412	0.75672	0.56147	0.46092	0.1335	0.14017	0.28619	0.24645	0.19862	0.18752	0.11891	0.14328	0.8048
0.24947	0.41678	0.28405	0.77053	0.58225	0.44158	0.14032	0.14214	0.25732	0.22814	0.20363	0.20594	0.12405	0.15355	0.81335
0.29069	0.4341	0.28615	0.7765	0.5821	0.45263	0.1445	0.13401	0.24551	0.22697	0.2113	0.20717	0.12968	0.14288	0.82504
0.29644	0.43259	0.30432	0.8002	0.55895	0.4402	0.13473	0.12613	0.27547	0.22627	0.19756	0.21988	0.14697	0.1382	0.81704
0.27502	0.44892	0.28159	0.78216	0.5882	0.46294	0.12854	0.14523	0.24221	0.24203	0.20505	0.1929	0.12939	0.12736	0.82145
0.31666	0.43662	0.28973	0.79115	0.56984	0.4613	0.12768	0.14192	0.23942	0.21513	0.21019	0.20406	0.13622	0.14531	0.84194
0.30021	0.40385	0.28297	0.77541	0.54337	0.45845	0.13777	0.12669	0.24888	0.20384	0.21147	0.20903	0.13855	0.14363	0.83772
0.29035	0.43819	0.30057	0.79873	0.55797	0.47977	0.13129	0.13508	0.238	0.20638	0.20831	0.215	0.12147	0.14584	0.81964
0.29331	0.43371	0.29906	0.81203	0.54731	0.49129	0.12602	0.12379	0.27815	0.20003	0.20471	0.20207	0.12703	0.15097	0.84008
0.31261	0.423	0.27878	0.82002	0.52844	0.45023	0.13227	0.14094	0.26838	0.22264	0.18126	0.20914	0.13949	0.14235	0.84449
0.29386	0.42548	0.27781	0.78131	0.56504	0.47149	0.12805	0.12412	0.26066	0.22263	0.19889	0.19916	0.12021	0.12265	0.85968
0.27431	0.46368	0.28597	0.7912	0.59345	0.46105	0.12	0.13661	0.2559	0.23269	0.18924	0.20168	0.13723	0.12738	0.84636
0.27041	0.421	0.29211	0.78532	0.583	0.48158	0.13246	0.12495	0.24305	0.23482	0.23089	0.21632	0.12817	0.14856	0.85265
0.31297	0.43839	0.27756	0.77957	0.56641	0.47355	0.12262	0.13361	0.27645	0.21754	0.21094	0.22326	0.13768	0.13655	0.82477
0.32009	0.44517	0.26258	0.77709	0.57166	0.44657	0.13441	0.10708	0.26811	0.21735	0.19536	0.19864	0.13873	0.12546	0.82812
0.30506	0.43237	0.30871	0.78707	0.58654	0.45138	0.12875	0.13062	0.25463	0.23143	0.19464	0.2015	0.13432	0.13379	0.83649
0.30939	0.44696	0.27896	0.77658	0.60068	0.42319	0.11368	0.12549	0.23972	0.21496	0.20766	0.1855	0.12849	0.13947	0.84096
0.28644	0.40727	0.29116	0.78687	0.58312	0.46002	0.13358	0.12791	0.24163	0.20961	0.21013	0.19265	0.13147	0.14139	0.84657
0.29545	0.40492	0.27923	0.79282	0.55509	0.42123	0.12442	0.11952	0.25682	0.22695	0.18565	0.18811	0.14389	0.12869	0.84966
0.25611	0.42496	0.28687	0.78592	0.55144	0.44775	0.12963	0.12449	0.25489	0.22	0.18283	0.21381	0.15045	0.13092	0.84999
0.27543	0.45207	0.28696	0.77472	0.59548	0.45862	0.12275	0.12838	0.23742	0.20971	0.18245	0.19615	0.1389	0.12177	0.84887
0.27793	0.40999	0.28717	0.78834	0.58837	0.47685	0.13358	0.13708	0.2111	0.18156	0.20069	0.2065	0.11993	0.12461	0.86022
