mass_ratio	chirp_mass	luminosity_distance	dec	ra	theta_jn	psi	phase	a_1	a_2	tilt_1	tilt_2	phi_12	phi_jl	geocent_time
0.16225	0.50746	0.34968	0.8154	0.58201	0.46269	0.12812	0.11171	0.22387	0.2434	0.25409	0.21996	0.14165	0.11727	0.8511
0.23663	0.47472	0.39847	0.79725	0.52571	0.49177	0.11852	0.12696	0.22847	0.19886	0.25916	0.21383	0.13858	0.09535	0.83602
0.23557	0.4544	0.3458	0.78566	0.57494	0.49601	0.13885	0.11702	0.26546	0.21933	0.20711	0.23075	0.11448	0.14788	0.82197
0.2619	0.48704	0.33066	0.77596	0.54091	0.45545	0.12444	0.13382	0.25524	0.29663	0.23525	0.22067	0.1166	0.12216	0.81445
0.22	0.43274	0.35325	0.80273	0.58128	0.50478	0.1077	0.14953	0.25951	0.16693	0.21682	0.26835	0.11547	0.1362	0.80659
0.18744	0.42381	0.32697	0.76934	0.57238	0.39915	0.1636	0.11968	0.19639	0.23036	0.17129	0.21693	0.14928	0.14285	0.80186
0.24167	0.43679	0.4017	0.7922	0.54633	0.40506	0.14362	0.11929	0.22303	0.22038	0.22941	0.20184	0.10001	0.08473	0.82595
0.24313	0.48459	0.34316	0.79932	0.59037	0.428	0.17989	0.15439	0.23084	0.15919	0.26049	0.2732	0.12648	0.12358	0.82791
0.26349	0.4391	0.31046	0.76386	0.53437	0.44386	0.13327	0.13221	0.21233	0.28497	0.13679	0.21482	0.09668	0.10735	0.8689
0.27624	0.44756	0.35566	0.78644	0.53216	0.41639	0.15166	0.16557	0.18765	0.29628	0.18993	0.19357	0.11425	0.13681	0.86831
0.2484	0.43821	0.32848	0.77508	0.58392	0.51955	0.1251	0.16694	0.24985	0.19455	0.21105	0.23923	0.11152	0.09416	0.83301
0.24249	0.47908	0.36225	0.8068	0.53809	0.50293	0.12608	0.14274	0.29902	0.2116	0.1974	0.22779	0.15496	0.12603	0.85706
0.30516	0.46295	0.35144	0.81758	0.61443	0.4048	0.10333	0.13185	0.25269	0.18441	0.25296	0.23197	0.10468	0.11858	0.82617
0.26576	0.42507	0.37072	0.73659	0.59946	0.39071	0.12739	0.1573	0.2462	0.21021	0.1672	0.2685	0.10477	0.07587	0.81876
0.28327	0.42455	0.33764	0.81882	0.5129	0.48084	0.09184	0.11586	0.22718	0.21365	0.15947	0.24689	0.13661	0.10027	0.87013
0.17602	0.43865	0.34066	0.82817	0.54707	0.51919	0.09175	0.14271	0.26613	0.2061	0.17952	0.22279	0.09743	0.1435	0.80393
0.26181	0.46401	0.339	0.84327	0.48649	0.44524	0.15002	0.12133	0.25981	0.23172	0.23307	0.22683	0.14877	0.13758	0.82952
0.40006	0.47633	0.31286	0.79918	0.51702	0.53513	0.15602	0.08836	0.23852	0.1985	0.21467	0.21507	0.14676	0.11701	0.79316
0.48169	0.41317	0.31492	0.83127	0.57209	0.38867	0.13454	0.14794	0.29206	0.19849	0.22556	0.26202	0.12119	0.11207	0.79374
0.4521	0.44218	0.34095	0.79997	0.52084	0.49692	0.13803	0.1293	0.24485	0.29922	0.1934	0.23484	0.14529	0.10631	0.80343
0.4839	0.44451	0.29827	0.80178	0.5287	0.45614	0.12537	0.13693	0.19357	0.21055	0.1782	0.21623	0.12327	0.11246	0.85627
0.43447	0.47234	0.37263	0.834	0.58331	0.43084	0.14616	0.12213	0.21456	0.20483	0.25638	0.19464	0.13549	0.13099	0.81635
0.42313	0.41634	0.37371	0.86586	0.49828	0.5061	0.09376	0.09948	0.21205	0.20116	0.20451	0.17058	0.13084	0.13582	0.84642
0.35327	0.44725	0.36832	0.81586	0.47592	0.55528	0.14198	0.13608	0.2518	0.22684	0.2796	0.18561	0.1213	0.10398	0.84949
0.37506	0.41992	0.33771	0.77234	0.55688	0.34552	0.07433	0.11095	0.2333	0.19398	0.2154	0.21687	0.15706	0.13545	0.81337
0.33225	0.45961	0.32369	0.77679	0.55892	0.46119	0.10475	0.15119	0.2124	0.20657	0.19679	0.22582	0.12543	0.1226	0.82855
0.39721	0.44586	0.34616	0.77668	0.55221	0.53233	0.14763	0.12311	0.2352	0.14203	0.16391	0.19567	0.14343	0.11284	0.8189
0.38192	0.40402	0.35538	0.76905	0.58398	0.46509	0.12109	0.11584	0.23771	0.18029	0.21395	0.19227	0.13738	0.15096	0.85149
0.39308	0.44765	0.34693	0.74239	0.59189	0.42973	0.13716	0.10428	0.22756	0.24751	0.19289	0.21263	0.0984	0.16453	0.84932
0.39329	0.42763	0.31055	0.74308	0.56226	0.52351	0.14111	0.13137	0.22501	0.25216	0.21508	0.22929	0.09758	0.10792	0.82351
0.39914	0.42931	0.30999	0.8042	0.56739	0.38488	0.13189	0.13491	0.22225	0.20375	0.20328	0.21385	0.11652	0.12742	0.83653
0.41403	0.46478	0.33233	0.80003	0.52013	0.43797	0.12278	0.13267	0.27859	0.27389	0.17112	0.21914	0.11715	0.11773	0.82335
0.39087	0.45041	0.33164	0.83693	0.52931	0.50499	0.14684	0.16302	0.17449	0.26608	0.21477	0.22655	0.13737	0.12363	0.86207
0.42527	0.45393	0.29253	0.82816	0.53199	0.47267	0.11221	0.13214	0.15942	0.18759	0.20096	0.20733	0.15249	0.13076	0.84408
0.31092	0.48213	0.32577	0.81412	0.53847	0.39802	0.08594	0.13595	0.21365	0.23608	0.19911	0.18941	0.10994	0.1181	0.82628
0.32149	0.45741	0.34609	0.69374	0.53461	0.48906	0.1471	0.1025	0.18201	0.17458	0.16883	0.21203	0.16871	0.13655	0.83094
0.3573	0.43973	0.33051	0.7712	0.56005	0.43087	0.12362	0.14049	0.21393	0.22014	0.17151	0.16178	0.12909	0.14754	0.82544
0.34908	0.4921	0.31618	0.82451	0.55265	0.43497	0.11305	0.12805	0.19541	0.20432	0.17194	0.18595	0.13337	0.11351	0.82128
0.3068	0.3806	0.30136	0.76695	0.53194	0.47202	0.10729	0.11341	0.19355	0.25204	0.17246	0.21369	0.10488	0.13558	0.85182
0.3977	0.39	0.28167	0.66262	0.51119	0.51651	0.12927	0.13121	0.27253	0.19624	0.17839	0.26912	0.14402	0.1699	0.80581
0.36518	0.44478	0.34329	0.71267	0.56601	0.47694	0.12716	0.13439	0.20272	0.29437	0.14994	0.26916	0.14764	0.11529	0.8083
0.32449	0.48847	0.35817	0.62844	0.54907	0.54354	0.11886	0.14633	0.1711	0.14249	0.23668	0.21632	0.12566	0.1202	0.81107
0.24316	0.47845	0.32806	0.77388	0.54111	0.56686	0.1254	0.10061	0.23161	0.17929	0.1945	0.18974	0.12764	0.14069	0.86047
0.34946	0.47364	0.34208	0.73089	0.56307	0.44627	0.13301	0.09759	0.22587	0.19463	0.21595	0.16059	0.14264	0.11078	0.82426
0.29299	0.47683	0.38341	0.87299	0.54985	0.52288	0.13131	0.13046	0.21422	0.27194	0.20072	0.16074	0.11124	0.1082	0.84407
0.27248	0.41573	0.31957	0.82366	0.61828	0.50684	0.18537	0.12352	0.20979	0.28933	0.20403	0.17384	0.15542	0.13734	0.81797
0.3282	0.46145	0.31722	0.81005	0.5319	0.54626	0.10553	0.16764	0.18973	0.19847	0.20944	0.20181	0.12472	0.13062	0.84098
0.3318	0.51682	0.35983	0.81988	0.60526	0.45478	0.1422	0.1024	0.22689	0.25241	0.18991	0.18051	0.14299	0.14789	0.82722
0.35219	0.55408	0.35558	0.78318	0.57156	0.52275	0.13227	0.11543	0.22484	0.24184	0.26327	0.20914	0.15206	0.16579	0.83914
0.41119	0.45878	0.38274	0.77696	0.53893	0.4031	0.15289	0.13447	0.24437	0.24969	0.24561	0.2256	0.10686	0.10086	0.86278
0.2792	0.48394	0.31923	0.76545	0.59477	0.52488	0.13373	0.11623	0.20466	0.20094	0.22226	0.233	0.11167	0.09992	0.8237
0.32728	0.48975	0.34195	0.77828	0.54636	0.48793	0.13531	0.16424	0.20407	0.17642	0.20708	0.1942	0.19774	0.11926	0.85476
0.36208	0.50102	0.27512	0.84743	0.51799	0.48699	0.12852	0.10661	0.23249	0.21484	0.19001	0.14918	0.11187	0.09165	0.83267
0.30483	0.47164	0.31002	0.75978	0.56155	0.42544	0.14805	0.11375	0.18123	0.14072	0.20092	0.23801	0.13351	0.14587	0.82086
0.31632	0.47103	0.35417	0.7573	0.57387	0.50953	0.09973	0.0938	0.24596	0.20111	0.2011	0.17479	0.13877	0.13527	0.83408
0.3019	0.47023	0.33183	0.74782	0.57832	0.53092	0.12227	0.13729	0.22769	0.20877	0.20277	0.18767	0.11486	0.1792	0.82221
0.35773	0.47988	0.32841	0.77514	0.59685	0.43227	0.08562	0.12735	0.22141	0.2939	0.25966	0.20637	0.14381	0.10583	0.80385
0.36846	0.39309	0.31165	0.81684	0.56274	0.44702	0.12145	0.13231	0.23531	0.26353	0.147	0.18019	0.13648	0.11772	0.80978
0.35989	0.44818	0.31761	0.78628	0.52552	0.46074	0.17963	0.16272	0.25301	0.26207	0.21688	0.2132	0.14201	0.10786	0.79692
0.28978	0.48067	0.31878	0.76107	0.60875	0.46605	0.14374	0.10789	0.15256	0.20769	0.20396	0.26406	0.14435	0.11201	0.81921
0.32494	0.47634	0.40859	0.82617	0.58295	0.43647	0.13104	0.1167	0.2607	0.23458	0.2084	0.18091	0.1098	0.12001	0.84966
0.34366	0.47492	0.28305	0.74461	0.58274	0.40187	0.12021	0.13046	0.21186	0.24628	0.1742	0.22098	0.15619	0.11961	0.81762
0.36823	0.3954	0.36827	0.78382	0.54282	0.34337	0.14942	0.14193	0.18145	0.1834	0.16832	0.19115	0.12956	0.11444	0.84959
0.25073	0.42672	0.30611	0.7667	0.5724	0.44034	0.13471	0.16612	0.2331	0.15	0.18841	0.23531	0.133	0.17242	0.8539
0.2888	0.43312	0.30762	0.76901	0.50121	0.58527	0.11731	0.11457	0.24022	0.16571	0.20073	0.24898	0.17845	0.11918	0.84193
0.38965	0.45697	0.39505	0.80881	0.54945	0.46439	0.12979	0.1401	0.2317	0.23022	0.20073	0.17279	0.15242	0.08132	0.82161
0.2896	0.41181	0.36458	0.82325	0.55279	0.45479	0.09861	0.13875	0.26433	0.28552	0.16653	0.14355	0.11889	0.09893	0.85686
0.30709	0.47477	0.30504	0.73696	0.55968	0.58692	0.13161	0.20326	0.19415	0.30465	0.22532	0.19696	0.13722	0.11557	0.84633
0.22933	0.36127	0.31966	0.73971	0.54594	0.45953	0.11335	0.17632	0.21623	0.30118	0.26981	0.21629	0.10813	0.13747	0.82867
0.24757	0.46902	0.38589	0.81503	0.54598	0.59757	0.14739	0.11926	0.17352	0.15571	0.23234	0.20977	0.12762	0.12163	0.85722
0.40033	0.48661	0.30212	0.78347	0.50955	0.54676	0.20969	0.15659	0.25914	0.31341	0.21819	0.18386	0.12817	0.11509	0.84238
0.33729	0.39125	0.31893	0.79915	0.49238	0.49765	0.11507	0.14434	0.19778	0.27556	0.24587	0.16482	0.12259	0.10758	0.86334
