# Freq (Hz)	LIGO_Hanford_PSD (1/Hz)	LIGO_Livingston_PSD (1/Hz)	
37.000000	1.0002750e-43	2.7470250e-45
37.125000	3.9792500e-44	2.4121970e-45
37.250000	1.9104470e-44	2.1671970e-45
37.375000	1.0139200e-44	1.9913000e-45
37.500000	5.4510000e-45	1.8316880e-45
37.625000	3.0984750e-45	1.7423150e-45
37.750000	1.8814780e-45	1.6807750e-45
37.875000	1.2099900e-45	1.6318900e-45
38.000000	8.0454000e-46	1.5775300e-45
38.125000	5.6737000e-46	1.5293430e-45
38.250000	5.0118250e-46	1.5100650e-45
38.375000	4.5901250e-46	1.4911430e-45
38.500000	4.2831750e-46	1.4725670e-45
38.625000	4.0190750e-46	1.4544400e-45
38.750000	3.6089750e-46	1.4367450e-45
38.875000	3.5617500e-46	1.4192620e-45
39.000000	3.5286500e-46	1.4022200e-45
39.125000	3.5015500e-46	1.3853430e-45
39.250000	3.4758250e-46	1.3687150e-45
39.375000	3.4604000e-46	1.3523530e-45
39.500000	3.4525500e-46	1.3363820e-45
39.625000	3.3786750e-46	1.3208800e-45
39.750000	3.4403500e-46	1.3054400e-45
39.875000	3.5277000e-46	1.2901530e-45
40.000000	3.6748250e-46	1.2752320e-45
40.125000	3.9571250e-46	1.2605800e-45
40.250000	4.5054250e-46	1.2462050e-45
40.375000	5.5741500e-46	1.2320770e-45
40.500000	7.8239500e-46	1.2181350e-45
40.625000	1.3882650e-45	1.2044850e-45
40.750000	3.7796000e-45	1.1910920e-45
40.875000	2.3164380e-44	1.1779900e-45
41.000000	1.0514650e-43	1.1650100e-45
41.125000	6.0204500e-45	1.1522800e-45
41.250000	1.8070120e-45	1.1398800e-45
41.375000	9.2916000e-46	1.1276380e-45
41.500000	6.1339000e-46	1.1156080e-45
41.625000	4.6729000e-46	1.1037250e-45
41.750000	3.9015000e-46	1.0920750e-45
41.875000	3.4711500e-46	1.0806050e-45
42.000000	3.2547250e-46	1.0693500e-45
42.125000	3.1209250e-46	1.0584530e-45
42.250000	3.0275250e-46	1.0476550e-45
42.375000	2.9519250e-46	1.0370750e-45
42.500000	2.8933250e-46	1.0266480e-45
42.625000	2.8486000e-46	1.0164980e-45
42.750000	2.8136750e-46	1.0064500e-45
42.875000	2.7849500e-46	9.9652500e-46
43.000000	2.7592250e-46	9.8677250e-46
43.125000	2.7365250e-46	9.7723500e-46
43.250000	2.7162750e-46	9.6783750e-46
43.375000	2.6986750e-46	9.5853500e-46
43.500000	2.6822000e-46	9.4946500e-46
43.625000	2.6673500e-46	9.4052500e-46
43.750000	2.6529000e-46	9.3186250e-46
43.875000	2.6396750e-46	9.2322000e-46
44.000000	2.6277250e-46	9.1474250e-46
44.125000	2.6165000e-46	9.0643250e-46
44.250000	2.6054000e-46	8.9823250e-46
44.375000	2.5984500e-46	8.9022500e-46
44.500000	2.5950250e-46	8.8234500e-46
44.625000	2.5967000e-46	8.7458250e-46
44.750000	2.6044250e-46	8.6696000e-46
44.875000	2.6230750e-46	8.5940000e-46
45.000000	2.6581750e-46	8.5200500e-46
45.125000	2.7148250e-46	8.4477750e-46
45.250000	2.7858750e-46	8.3764750e-46
45.375000	2.9045500e-46	8.3059750e-46
45.500000	3.1352250e-46	8.2364000e-46
45.625000	3.6369250e-46	8.1681250e-46
45.750000	4.9634250e-46	8.1009250e-46
45.875000	9.8615250e-46	8.0347500e-46
46.000000	5.5103750e-45	7.9693000e-46
46.125000	6.8455750e-45	7.9052000e-46
46.250000	1.0125730e-45	7.8417250e-46
46.375000	4.9486250e-46	7.7793000e-46
46.500000	3.5676500e-46	7.7179500e-46
46.625000	3.0295750e-46	7.6573250e-46
46.750000	2.7668000e-46	7.5978250e-46
46.875000	2.6159500e-46	7.5387750e-46
47.000000	2.5192250e-46	7.4805750e-46
47.125000	2.4395350e-46	7.4235500e-46
47.250000	2.3810130e-46	7.3672750e-46
47.375000	2.3389850e-46	7.3116000e-46
47.500000	2.3065030e-46	7.2565750e-46
47.625000	2.2803680e-46	7.2027250e-46
47.750000	2.2591270e-46	7.1499250e-46
47.875000	2.2409000e-46	7.0977000e-46
48.000000	2.2247600e-46	7.0469250e-46
48.125000	2.2102180e-46	6.9959750e-46
48.250000	2.1966170e-46	6.9460750e-46
48.375000	2.1838830e-46	6.8970250e-46
48.500000	2.1716230e-46	6.8487250e-46
48.625000	2.1598880e-46	6.8006750e-46
48.750000	2.1485480e-46	6.7533000e-46
48.875000	2.1374850e-46	6.7072750e-46
49.000000	2.1265200e-46	6.6610000e-46
49.125000	2.1158320e-46	6.6157250e-46
49.250000	2.1052530e-46	6.5714500e-46
49.375000	2.0948800e-46	6.5278500e-46
49.500000	2.0845980e-46	6.4845000e-46
49.625000	2.0743450e-46	6.4421000e-46
