# Freq (Hz)	LIGO_Hanford_PSD (1/Hz)	LIGO_Livingston_PSD (1/Hz)	Virgo_PSD (1/Hz)
40.250000	2.8081900e-45	1.2675400e-46	3.5026300e-45
40.500000	2.7287650e-45	1.2500950e-46	3.4135500e-45
40.750000	2.6502100e-45	1.2335250e-46	3.3280150e-45
41.000000	2.5712950e-45	1.2180750e-46	3.2465400e-45
41.250000	2.4908850e-45	1.2031450e-46	3.1685050e-45
41.500000	2.4101700e-45	1.1892000e-46	3.0937300e-45
41.750000	2.3322000e-45	1.1761950e-46	3.0218950e-45
42.000000	2.2545200e-45	1.1636550e-46	2.9529500e-45
42.250000	2.1801450e-45	1.1517000e-46	2.8878750e-45
42.500000	2.1068450e-45	1.1406800e-46	2.8241600e-45
42.750000	2.0350100e-45	1.1302050e-46	2.7631300e-45
43.000000	1.9652250e-45	1.1202100e-46	2.7052400e-45
43.250000	1.8972500e-45	1.1110050e-46	2.6489350e-45
43.500000	1.8295450e-45	1.1022450e-46	2.5950550e-45
43.750000	1.7650700e-45	1.0940500e-46	2.5419950e-45
44.000000	1.7015750e-45	1.0859850e-46	2.4899600e-45
44.250000	1.6386800e-45	1.0782550e-46	2.4402150e-45
44.500000	1.5798000e-45	1.0711050e-46	2.3930950e-45
44.750000	1.5239450e-45	1.0642850e-46	2.3467200e-45
45.000000	1.4707650e-45	1.0578950e-46	2.3007100e-45
45.250000	1.4170600e-45	1.0516200e-46	2.2566950e-45
45.500000	1.3664950e-45	1.0454150e-46	2.2140700e-45
45.750000	1.3190200e-45	1.0397700e-46	2.2007750e-45
46.000000	1.2721300e-45	1.0341200e-46	1.3185800e-44
46.250000	1.2274300e-45	1.0286500e-46	1.8646600e-44
46.500000	1.1847750e-45	1.0231950e-46	2.7108650e-44
46.750000	1.1445150e-45	1.0181400e-46	4.0257050e-44
47.000000	1.1052750e-45	1.0129450e-46	6.0964000e-44
47.250000	1.0673100e-45	1.0080800e-46	9.4427000e-44
47.500000	1.0306450e-45	1.0032900e-46	1.4965800e-43
47.750000	9.9526500e-46	9.9872000e-47	2.4250350e-43
48.000000	9.6175000e-46	9.9361500e-47	4.0383900e-43
48.250000	9.2939500e-46	9.8895500e-47	6.9582000e-43
48.500000	8.9863500e-46	9.8427000e-47	1.2548550e-42
48.750000	8.6895000e-46	9.7963000e-47	2.3986950e-42
49.000000	8.4030500e-46	9.7500000e-47	5.0130500e-42
49.250000	8.1255500e-46	9.7050000e-47	9.7262500e-42
49.500000	7.8599000e-46	9.6590000e-47	2.3173750e-41
49.750000	7.6087500e-46	9.6150500e-47	1.1564200e-40
50.000000	7.3654500e-46	9.5731000e-47	1.7018900e-39
50.250000	7.1271500e-46	9.5309000e-47	5.2340000e-41
50.500000	6.8967000e-46	9.4888000e-47	1.5488150e-41
50.750000	6.6776000e-46	9.4487500e-47	7.2854500e-42
51.000000	6.4667000e-46	9.4071000e-47	3.5774050e-42
51.250000	6.2628000e-46	9.3646000e-47	1.7618500e-42
51.500000	6.0683000e-46	9.3230000e-47	9.3664500e-43
51.750000	5.8755500e-46	9.2819000e-47	5.2454500e-43
52.000000	5.6913500e-46	9.2415000e-47	3.0583850e-43
52.250000	5.5176000e-46	9.2004000e-47	1.8361250e-43
52.500000	5.3517000e-46	9.1592000e-47	1.1312200e-43
52.750000	5.1957000e-46	9.1186000e-47	7.1230500e-44
53.000000	5.0486500e-46	9.0801000e-47	4.5797700e-44
53.250000	4.9057150e-46	9.0413000e-47	2.9976850e-44
53.500000	4.7706150e-46	9.0016500e-47	1.2926450e-45
53.750000	4.6463650e-46	8.9632000e-47	1.2542550e-45
54.000000	4.5282550e-46	8.9258500e-47	1.2332050e-45
54.250000	4.4160850e-46	8.8878500e-47	1.2092250e-45
54.500000	4.3124500e-46	8.8502500e-47	1.1874100e-45
54.750000	4.2166600e-46	8.8128000e-47	1.1683400e-45
55.000000	4.1267050e-46	8.7749500e-47	1.1498050e-45
55.250000	4.0391800e-46	8.7377500e-47	1.1315550e-45
55.500000	3.9578600e-46	8.7006000e-47	1.1140450e-45
55.750000	3.8793450e-46	8.6636500e-47	1.0970050e-45
56.000000	3.8057900e-46	8.6268000e-47	1.0799250e-45
56.250000	3.7364100e-46	8.5894500e-47	1.0632300e-45
56.500000	3.6717600e-46	8.5524500e-47	1.0470150e-45
56.750000	3.6107550e-46	8.5171000e-47	1.0308000e-45
57.000000	3.5539250e-46	8.4824000e-47	1.0148850e-45
57.250000	3.4996200e-46	8.4468500e-47	9.9966000e-46
57.500000	3.4477050e-46	8.4118000e-47	9.8502500e-46
57.750000	3.3987750e-46	8.3764000e-47	9.7061500e-46
58.000000	3.3513300e-46	8.3417000e-47	9.5662500e-46
58.250000	3.3067300e-46	8.3074000e-47	9.4298000e-46
58.500000	3.2648300e-46	8.2738500e-47	9.2932500e-46
58.750000	3.2250450e-46	8.2413000e-47	9.1661500e-46
59.000000	3.1872100e-46	8.2073500e-47	9.0460000e-46
59.250000	3.1515800e-46	8.1741000e-47	8.9306500e-46
59.500000	3.1179400e-46	8.1418000e-47	8.8269000e-46
59.750000	3.0861950e-46	8.1109000e-47	8.7389500e-46
60.000000	3.0555150e-46	8.0795500e-47	8.6763000e-46
60.250000	3.0265650e-46	8.0491500e-47	8.6459000e-46
60.500000	2.9995850e-46	8.0182500e-47	8.6503500e-46
60.750000	2.9731550e-46	7.9875500e-47	8.6956500e-46
61.000000	2.9484600e-46	7.9577500e-47	8.8112500e-46
61.250000	2.9242750e-46	7.9288000e-47	9.0025500e-46
61.500000	2.9005500e-46	7.8991000e-47	9.3695500e-46
61.750000	2.8777800e-46	7.8698000e-47	1.0080600e-45
62.000000	2.8558650e-46	7.8395000e-47	1.1298000e-45
62.250000	2.8344800e-46	7.8095000e-47	1.3546350e-45
62.500000	2.8134050e-46	7.7808000e-47	1.8682450e-45
62.750000	2.7930100e-46	7.7528500e-47	3.2421750e-45
63.000000	2.7727850e-46	7.7245500e-47	7.0662500e-45
63.250000	2.7532650e-46	7.6963500e-47	7.9343500e-45
63.500000	2.7343800e-46	7.6687500e-47	2.7301650e-45
63.750000	2.7145450e-46	7.6413000e-47	1.6083900e-45
64.000000	2.6961200e-46	7.6141500e-47	1.1868200e-45
64.250000	2.6772500e-46	7.5870000e-47	9.8001000e-46
64.500000	2.6585850e-46	7.5603500e-47	8.5530000e-46
64.750000	2.6403450e-46	7.5335500e-47	7.7631000e-46
65.000000	2.6225050e-46	7.5081000e-47	7.2669000e-46
65.250000	2.6044650e-46	7.4817000e-47	6.9138000e-46
65.500000	2.5867950e-46	7.4552000e-47	6.6442500e-46
65.750000	2.5693600e-46	7.4305000e-47	6.4419500e-46
66.000000	2.5514750e-46	7.4053000e-47	6.2812500e-46
66.250000	2.5342050e-46	7.3807500e-47	6.1497500e-46
66.500000	2.5169150e-46	7.3565000e-47	6.0372500e-46
66.750000	2.5000850e-46	7.3321000e-47	5.9381500e-46
67.000000	2.4833000e-46	7.3082000e-47	5.8495500e-46
67.250000	2.4666150e-46	7.2836000e-47	5.7661500e-46
67.500000	2.4502800e-46	7.2606500e-47	5.6869000e-46
67.750000	2.4337400e-46	7.2369000e-47	5.6114500e-46
68.000000	2.4176950e-46	7.2138000e-47	5.5370000e-46
68.250000	2.4017000e-46	7.1910500e-47	5.4641000e-46
68.500000	2.3859950e-46	7.1683000e-47	5.3957500e-46
68.750000	2.3700800e-46	7.1461500e-47	5.3324000e-46
69.000000	2.3544800e-46	7.1246500e-47	5.2692500e-46
69.250000	2.3391900e-46	7.1022000e-47	5.2061500e-46
69.500000	2.3239850e-46	7.0800000e-47	5.1466500e-46
69.750000	2.3088750e-46	7.0582500e-47	5.0860000e-46
70.000000	2.2937850e-46	7.0373000e-47	5.0269500e-46
70.250000	2.2786400e-46	7.0156500e-47	4.9689850e-46
70.500000	2.2638250e-46	6.9938000e-47	4.9110550e-46
70.750000	2.2490900e-46	6.9729500e-47	4.8546050e-46
71.000000	2.2344600e-46	6.9526000e-47	4.7983850e-46
71.250000	2.2199950e-46	6.9323000e-47	4.7462200e-46
71.500000	2.2056300e-46	6.9128500e-47	4.6937700e-46
71.750000	2.1915100e-46	6.8926000e-47	4.6422550e-46
72.000000	2.1773000e-46	6.8719500e-47	4.5910800e-46
72.250000	2.1634800e-46	6.8520500e-47	4.5418100e-46
72.500000	2.1495950e-46	6.8313000e-47	4.4930950e-46
72.750000	2.1359600e-46	6.8121000e-47	4.4445600e-46
73.000000	2.1224800e-46	6.7927000e-47	4.3970650e-46
73.250000	2.1091850e-46	6.7728500e-47	4.3506500e-46
73.500000	2.0958350e-46	6.7533500e-47	4.3051150e-46
73.750000	2.0823650e-46	6.7350000e-47	4.2603450e-46
74.000000	2.0695200e-46	6.7161500e-47	4.2166350e-46
74.250000	2.0568750e-46	6.6986500e-47	4.1734350e-46
74.500000	2.0444550e-46	6.6806000e-47	4.1315950e-46
74.750000	2.0317500e-46	6.6617000e-47	4.0908300e-46
75.000000	2.0193200e-46	6.6434500e-47	4.0497250e-46
75.250000	2.0069350e-46	6.6253500e-47	4.0109800e-46
75.500000	1.9945300e-46	6.6077500e-47	3.9719200e-46
75.750000	1.9822200e-46	6.5903500e-47	3.9334650e-46
76.000000	1.9698900e-46	6.5726000e-47	3.8968750e-46
76.250000	1.9577200e-46	6.5562500e-47	3.8602600e-46
76.500000	1.9457600e-46	6.5393500e-47	3.8248050e-46
76.750000	1.9338700e-46	6.5222000e-47	3.7898100e-46
77.000000	1.9219950e-46	6.5054000e-47	3.7561600e-46
77.250000	1.9102400e-46	6.4892500e-47	3.7227600e-46
77.500000	1.8985500e-46	6.4727000e-47	3.6897750e-46
77.750000	1.8869300e-46	6.4555500e-47	3.6568350e-46
