# Freq (Hz)	LIGO_Hanford_PSD (1/Hz)	LIGO_Livingston_PSD (1/Hz)	
20.000000	6.2576000e-44	8.0478500e-45
20.250000	5.8965500e-44	7.1708500e-45
20.500000	5.5597500e-44	6.4226500e-45
20.750000	5.2461500e-44	5.7806000e-45
21.000000	4.9502900e-44	5.2267000e-45
21.250000	4.6730500e-44	4.7473350e-45
21.500000	4.4124450e-44	4.3290850e-45
21.750000	4.1685500e-44	3.9606350e-45
22.000000	3.9394200e-44	3.6363650e-45
22.250000	3.7257700e-44	3.3472700e-45
22.500000	3.5239700e-44	3.0906600e-45
22.750000	3.3350800e-44	2.8599850e-45
23.000000	3.1574600e-44	2.6529900e-45
23.250000	2.9897200e-44	2.4667050e-45
23.500000	2.8321500e-44	2.2979150e-45
23.750000	2.6840950e-44	2.1447000e-45
24.000000	2.5443900e-44	2.0048550e-45
24.250000	2.4122550e-44	1.8753750e-45
24.500000	2.2887250e-44	1.7564950e-45
24.750000	2.1720050e-44	1.6476250e-45
25.000000	2.0619550e-44	1.5478600e-45
25.250000	1.9581700e-44	1.4553200e-45
25.500000	1.8601500e-44	1.3713550e-45
25.750000	1.7677950e-44	1.2930150e-45
26.000000	1.6799500e-44	1.2202600e-45
26.250000	1.5973750e-44	1.1528550e-45
26.500000	1.5192550e-44	1.0908650e-45
26.750000	1.4453450e-44	1.0338050e-45
27.000000	1.3755500e-44	9.8051000e-46
27.250000	1.3095400e-44	9.3178500e-46
27.500000	1.2469450e-44	8.8697000e-46
27.750000	1.1876200e-44	8.4479500e-46
28.000000	1.1315950e-44	8.0543000e-46
28.250000	1.0787000e-44	7.6886500e-46
28.500000	1.0286700e-44	7.3441000e-46
28.750000	9.8141500e-45	7.0198000e-46
29.000000	9.3648500e-45	6.7182500e-46
29.250000	8.9386000e-45	6.4370000e-46
29.500000	8.5339500e-45	6.1782000e-46
29.750000	8.1495500e-45	5.9354500e-46
30.000000	7.7857000e-45	5.7107000e-46
30.250000	7.4406000e-45	5.5051500e-46
30.500000	7.1132500e-45	5.3135000e-46
30.750000	6.8021500e-45	5.1349500e-46
31.000000	6.5067500e-45	4.9644750e-46
31.250000	6.2257500e-45	4.8033700e-46
31.500000	5.9590500e-45	4.6551450e-46
31.750000	5.7051000e-45	4.5113700e-46
32.000000	5.4640500e-45	4.3780950e-46
32.250000	5.2341500e-45	4.2486500e-46
32.500000	5.0156500e-45	4.1267000e-46
32.750000	4.8078200e-45	4.0128250e-46
33.000000	4.6102300e-45	3.9039500e-46
33.250000	4.4212250e-45	3.7994450e-46
33.500000	4.2412450e-45	3.6988350e-46
33.750000	4.0702300e-45	3.6022350e-46
34.000000	3.9077000e-45	3.5110500e-46
34.250000	3.7526000e-45	3.4221300e-46
34.500000	3.6050500e-45	3.3361500e-46
34.750000	3.4637350e-45	3.2539550e-46
35.000000	3.3289650e-45	3.1758600e-46
35.250000	3.2000900e-45	3.1013550e-46
35.500000	3.0773350e-45	3.0300850e-46
35.750000	2.9598500e-45	2.9613100e-46
36.000000	2.8477150e-45	2.8959100e-46
36.250000	2.7410800e-45	2.8333600e-46
36.500000	2.6387500e-45	2.7728800e-46
36.750000	2.5410900e-45	2.7154150e-46
37.000000	2.4475950e-45	2.6605650e-46
37.250000	2.3579250e-45	2.6085400e-46
37.500000	2.2725050e-45	2.5580500e-46
37.750000	2.1907900e-45	2.5095850e-46
38.000000	2.1126350e-45	2.4632550e-46
38.250000	2.0377900e-45	2.4187400e-46
38.500000	1.9659750e-45	2.3763150e-46
38.750000	1.8974200e-45	2.3360800e-46
39.000000	1.8319650e-45	2.2967350e-46
39.250000	1.7691200e-45	2.2586950e-46
39.500000	1.7091000e-45	2.2223900e-46
39.750000	1.6512250e-45	2.1873300e-46
40.000000	1.5958800e-45	2.1532800e-46
40.250000	1.5426200e-45	2.1210600e-46
40.500000	1.4917350e-45	2.0901600e-46
40.750000	1.4429200e-45	2.0597100e-46
41.000000	1.3960600e-45	2.0308450e-46
41.250000	1.3510150e-45	2.0027700e-46
41.500000	1.3077750e-45	1.9755450e-46
41.750000	1.2662000e-45	1.9490850e-46
42.000000	1.2263500e-45	1.9230000e-46
42.250000	1.1880900e-45	1.8976650e-46
42.500000	1.1512200e-45	1.8730700e-46
42.750000	1.1157550e-45	1.8492100e-46
43.000000	1.0817250e-45	1.8256650e-46
43.250000	1.0490350e-45	1.8027150e-46
43.500000	1.0176750e-45	1.7804650e-46
43.750000	9.8735000e-46	1.7588000e-46
44.000000	9.5822000e-46	1.7373250e-46
44.250000	9.3017000e-46	1.7159550e-46
44.500000	9.0297500e-46	1.6954100e-46
44.750000	8.7699500e-46	1.6750500e-46
45.000000	8.5194000e-46	1.6548950e-46
45.250000	8.2780500e-46	1.6350900e-46
45.500000	8.0451500e-46	1.6153300e-46
45.750000	7.8204500e-46	1.5960800e-46
46.000000	7.6036000e-46	1.5776400e-46
46.250000	7.3948500e-46	1.5589550e-46
46.500000	7.1947000e-46	1.5407650e-46
46.750000	7.0009500e-46	1.5229850e-46
47.000000	6.8136500e-46	1.5051800e-46
47.250000	6.6324000e-46	1.4880750e-46
47.500000	6.4580500e-46	1.4710050e-46
47.750000	6.2899500e-46	1.4544850e-46
48.000000	6.1277000e-46	1.4383350e-46
48.250000	5.9706000e-46	1.4224250e-46
48.500000	5.8187000e-46	1.4067100e-46
48.750000	5.6727000e-46	1.3912800e-46
49.000000	5.5312000e-46	1.3761950e-46
49.250000	5.3943000e-46	1.3614700e-46
49.500000	5.2621000e-46	1.3470500e-46
49.750000	5.1346500e-46	1.3324850e-46
50.000000	5.0113500e-46	1.3182500e-46
50.250000	4.8916400e-46	1.3045000e-46
50.500000	4.7761750e-46	1.2909400e-46
50.750000	4.6648500e-46	1.2775700e-46
51.000000	4.5566350e-46	1.2645550e-46
51.250000	4.4516250e-46	1.2514550e-46
51.500000	4.3504050e-46	1.2386700e-46
51.750000	4.2517850e-46	1.2261400e-46
52.000000	4.1568850e-46	1.2138200e-46
52.250000	4.0648700e-46	1.2016450e-46
52.500000	3.9757750e-46	1.1898700e-46
52.750000	3.8893350e-46	1.1781750e-46
53.000000	3.8060450e-46	1.1667450e-46
53.250000	3.7243550e-46	1.1555450e-46
53.500000	3.6455650e-46	1.1447000e-46
53.750000	3.5694550e-46	1.1339200e-46
54.000000	3.4952750e-46	1.1233050e-46
54.250000	3.4234400e-46	1.1126200e-46
54.500000	3.3536800e-46	1.1023100e-46
54.750000	3.2857750e-46	1.0921100e-46
55.000000	3.2205900e-46	1.0821500e-46
55.250000	3.1569450e-46	1.0723650e-46
55.500000	3.0954400e-46	1.0627000e-46
55.750000	3.0357850e-46	1.0532150e-46
56.000000	2.9779300e-46	1.0437500e-46
56.250000	2.9214300e-46	1.0345900e-46
56.500000	2.8666200e-46	1.0254700e-46
56.750000	2.8133050e-46	1.0164850e-46
57.000000	2.7614900e-46	1.0077400e-46
57.250000	2.7114200e-46	9.9905500e-47
57.500000	2.6624850e-46	9.9059500e-47
57.750000	2.6148750e-46	9.8214000e-47
58.000000	2.5686500e-46	9.7386500e-47
58.250000	2.5238500e-46	9.6589500e-47
58.500000	2.4799600e-46	9.5804500e-47
58.750000	2.4375250e-46	9.5036000e-47
59.000000	2.3961700e-46	9.4255000e-47
59.250000	2.3559200e-46	9.3508500e-47
