# Freq (Hz)	LIGO_Hanford_PSD (1/Hz)	LIGO_Livingston_PSD (1/Hz)	Virgo_PSD (1/Hz)
20.000000	9.4262883e-44	1.1543036e-44	7.8174323e-43
20.250000	8.7946033e-44	9.8329728e-45	6.7712853e-43
20.500000	8.1775133e-44	8.4087760e-45	5.9456335e-43
20.750000	7.6252602e-44	7.2224418e-45	5.2069369e-43
21.000000	7.1120771e-44	6.1618491e-45	4.5216289e-43
21.250000	6.6365960e-44	5.3160906e-45	3.8745959e-43
21.500000	6.1510506e-44	4.5579323e-45	3.3651179e-43
21.750000	5.7186198e-44	3.9696467e-45	2.9364103e-43
22.000000	5.3371497e-44	3.4724344e-45	2.6091590e-43
22.250000	4.9805292e-44	3.0529446e-45	2.3312887e-43
22.500000	4.6502547e-44	2.7015143e-45	2.0563206e-43
22.750000	4.3472564e-44	2.3866412e-45	1.8089807e-43
23.000000	4.0559442e-44	2.1147224e-45	1.5837458e-43
23.250000	3.7794670e-44	1.8860079e-45	1.4096315e-43
23.500000	3.5140139e-44	1.6879412e-45	1.2667092e-43
23.750000	3.2736445e-44	1.5195932e-45	1.1360783e-43
24.000000	3.0533546e-44	1.3652128e-45	1.0207119e-43
24.250000	2.8509191e-44	1.2326563e-45	9.2097176e-44
24.500000	2.6676028e-44	1.1289906e-45	8.3372589e-44
24.750000	2.4874123e-44	1.0293457e-45	7.5720062e-44
25.000000	2.3150837e-44	9.5003262e-46	6.8997656e-44
25.250000	2.1611813e-44	8.8067897e-46	6.3169012e-44
25.500000	2.0201185e-44	8.1851360e-46	5.8217445e-44
25.750000	1.8817496e-44	7.6184352e-46	5.3766670e-44
26.000000	1.7605699e-44	7.1078235e-46	4.9798612e-44
26.250000	1.6518655e-44	6.6823855e-46	4.6526713e-44
26.500000	1.5458605e-44	6.3018461e-46	4.4128445e-44
26.750000	1.4498340e-44	5.9740442e-46	4.1675199e-44
27.000000	1.3621069e-44	5.6801433e-46	3.9118880e-44
27.250000	1.2763144e-44	5.4180853e-46	3.6895501e-44
27.500000	1.1964928e-44	5.1860559e-46	3.4747459e-44
27.750000	1.1236689e-44	4.9768823e-46	3.2528771e-44
28.000000	1.0547112e-44	4.7896807e-46	3.0639183e-44
28.250000	9.9527800e-45	4.6177075e-46	2.9110767e-44
28.500000	9.3730188e-45	4.4615943e-46	2.7856561e-44
28.750000	8.8078754e-45	4.3265188e-46	2.6605754e-44
29.000000	8.2887449e-45	4.2028462e-46	2.5454199e-44
29.250000	7.8231671e-45	4.0895596e-46	2.4451793e-44
29.500000	7.3728427e-45	3.9867870e-46	2.3553066e-44
29.750000	6.9599326e-45	3.8932208e-46	2.2540317e-44
30.000000	6.5732723e-45	3.8076813e-46	2.1842725e-44
30.250000	6.2116620e-45	3.7290978e-46	2.0999728e-44
30.500000	5.8726841e-45	3.6564918e-46	2.0243087e-44
30.750000	5.5422998e-45	3.5889645e-46	1.9545836e-44
31.000000	5.2317050e-45	3.5256848e-46	1.9043777e-44
31.250000	4.9448206e-45	3.4658806e-46	1.8571328e-44
31.500000	4.6762892e-45	3.4049302e-46	1.8118072e-44
31.750000	4.4248615e-45	3.3495130e-46	1.7812267e-44
32.000000	4.1893772e-45	3.2930439e-46	1.7327950e-44
32.250000	3.9687588e-45	3.2364655e-46	1.6895931e-44
32.500000	3.7628575e-45	3.1811801e-46	1.6444000e-44
32.750000	3.5761933e-45	3.1271536e-46	1.5992360e-44
33.000000	3.4061128e-45	3.0781930e-46	1.5529138e-44
33.250000	3.2524996e-45	3.0307664e-46	1.5107962e-44
33.500000	3.0998559e-45	2.9851340e-46	1.4746521e-44
33.750000	2.9442877e-45	2.9383463e-46	1.4424276e-44
34.000000	2.7948150e-45	2.8912324e-46	1.4178189e-44
34.250000	2.6637852e-45	2.8448616e-46	1.4120099e-44
34.500000	2.5435771e-45	2.8014228e-46	1.4314226e-44
34.750000	2.4257313e-45	2.7587482e-46	1.4547630e-44
35.000000	2.3148920e-45	2.7169542e-46	1.5004886e-44
35.250000	2.2106138e-45	2.6760197e-46	1.6089542e-44
35.500000	2.1133236e-45	2.6357350e-46	1.8491882e-44
35.750000	2.0247649e-45	2.5953888e-46	2.6501589e-44
36.000000	1.9397793e-45	2.5539862e-46	6.6358063e-44
36.250000	1.8576805e-45	2.5129289e-46	1.1340971e-42
36.500000	1.7803775e-45	2.4738834e-46	2.0659311e-43
36.750000	1.7128570e-45	2.4364152e-46	3.9409690e-44
37.000000	1.6491196e-45	2.3997604e-46	1.9852303e-44
37.250000	1.5886556e-45	2.3653787e-46	1.5044388e-44
37.500000	1.5336118e-45	2.3310895e-46	1.3070430e-44
37.750000	1.4810681e-45	2.2936557e-46	1.2168146e-44
38.000000	1.4309041e-45	2.2624862e-46	1.1368359e-44
38.250000	1.3829189e-45	2.2321401e-46	1.0912521e-44
38.500000	1.3404780e-45	2.2026931e-46	1.0454784e-44
38.750000	1.2983669e-45	2.1737881e-46	1.0009313e-44
39.000000	1.2574771e-45	2.1454136e-46	9.8646522e-45
39.250000	1.2207736e-45	2.1172279e-46	9.7049450e-45
39.500000	1.1859638e-45	2.0887917e-46	9.5606267e-45
39.750000	1.1529413e-45	2.0616514e-46	9.3492306e-45
40.000000	1.1199017e-45	2.0335354e-46	9.2106288e-45
40.250000	1.0878727e-45	2.0066914e-46	9.1113421e-45
40.500000	1.0581265e-45	1.9803548e-46	8.9948347e-45
40.750000	1.0310292e-45	1.9540320e-46	8.8151277e-45
41.000000	1.0054472e-45	1.9267653e-46	8.7313734e-45
41.250000	9.8073236e-46	1.9007901e-46	8.6399546e-45
41.500000	9.5696859e-46	1.8744110e-46	8.5965246e-45
41.750000	9.3427319e-46	1.8478623e-46	8.5813424e-45
42.000000	9.1149300e-46	1.8209365e-46	8.5477834e-45
42.250000	8.8991326e-46	1.7955888e-46	8.5306184e-45
42.500000	8.7004395e-46	1.7734128e-46	8.4795841e-45
42.750000	8.5047487e-46	1.7521025e-46	8.3305526e-45
43.000000	8.3146672e-46	1.7296493e-46	8.1906102e-45
43.250000	8.1300770e-46	1.7072183e-46	8.2089583e-45
43.500000	7.9593872e-46	1.6840508e-46	8.3130729e-45
43.750000	7.7979683e-46	1.6628037e-46	8.2291594e-45
44.000000	7.6424265e-46	1.6417506e-46	8.3454255e-45
44.250000	7.4927227e-46	1.6211037e-46	8.2854087e-45
44.500000	7.3443319e-46	1.6028101e-46	8.3130104e-45
44.750000	7.1948260e-46	1.5851492e-46	8.3401436e-45
45.000000	7.0500728e-46	1.5674691e-46	8.5416591e-45
45.250000	6.9175915e-46	1.5485667e-46	8.4308524e-45
45.500000	6.7889628e-46	1.5293236e-46	8.4463590e-45
45.750000	6.6644027e-46	1.5104499e-46	8.7591243e-45
46.000000	6.5428306e-46	1.4939084e-46	9.4605446e-45
46.250000	6.4271349e-46	1.4771800e-46	9.7547126e-45
46.500000	6.3130009e-46	1.4595554e-46	3.1524951e-44
46.750000	6.2049519e-46	1.4422615e-46	4.5104381e-44
47.000000	6.0997285e-46	1.4252913e-46	6.8356009e-44
47.250000	5.9995495e-46	1.4086376e-46	1.0432887e-43
47.500000	5.8993808e-46	1.3931071e-46	1.6244339e-43
47.750000	5.8015160e-46	1.3780960e-46	2.6348518e-43
48.000000	5.7057880e-46	1.3621268e-46	4.3963009e-43
48.250000	5.6121588e-46	1.3477815e-46	7.5892267e-43
48.500000	5.5206992e-46	1.3339179e-46	1.3949891e-42
48.750000	5.4320081e-46	1.3192994e-46	2.7039475e-42
49.000000	5.3453279e-46	1.3049343e-46	5.8998315e-42
49.250000	5.2572460e-46	1.2908174e-46	1.3090773e-41
49.500000	5.1718028e-46	1.2769437e-46	3.2060459e-41
49.750000	5.0881628e-46	1.2633083e-46	1.6214174e-40
