# Freq (Hz)	LIGO_Hanford_PSD (1/Hz)	LIGO_Livingston_PSD (1/Hz)	Virgo_PSD (1/Hz)
20.000000	7.6054000e-44	1.5383650e-44	3.8979400e-43
20.250000	7.0602500e-44	1.3552100e-44	3.4954900e-43
20.500000	6.5553500e-44	1.1960400e-44	3.1309600e-43
20.750000	6.0880500e-44	1.0577950e-44	2.8144100e-43
21.000000	5.6570500e-44	9.3715000e-45	2.5316450e-43
21.250000	5.2614000e-44	8.3251500e-45	2.2817350e-43
21.500000	4.8956300e-44	7.4245500e-45	2.0555350e-43
21.750000	4.5562200e-44	6.6356500e-45	1.8552600e-43
22.000000	4.2423950e-44	5.9334500e-45	1.6778000e-43
22.250000	3.9486250e-44	5.3164500e-45	1.5174350e-43
22.500000	3.6766350e-44	4.7741500e-45	1.3757700e-43
22.750000	3.4277750e-44	4.2991800e-45	1.2488150e-43
23.000000	3.1969950e-44	3.8733800e-45	1.1381200e-43
23.250000	2.9837650e-44	3.5025900e-45	1.0401000e-43
23.500000	2.7858000e-44	3.1769350e-45	9.5271000e-44
23.750000	2.6022700e-44	2.8965500e-45	8.7368000e-44
24.000000	2.4336150e-44	2.6505750e-45	8.0411500e-44
24.250000	2.2784750e-44	2.4338450e-45	7.4191000e-44
24.500000	2.1347450e-44	2.2435400e-45	6.8605500e-44
24.750000	2.0030850e-44	2.0748450e-45	6.3583000e-44
25.000000	1.8806000e-44	1.9241400e-45	5.9082000e-44
25.250000	1.7667000e-44	1.7892850e-45	5.5004500e-44
25.500000	1.6609600e-44	1.6686150e-45	5.1235500e-44
25.750000	1.5625450e-44	1.5590450e-45	4.7817150e-44
26.000000	1.4714250e-44	1.4603750e-45	4.4733050e-44
26.250000	1.3867300e-44	1.3721200e-45	4.1855300e-44
26.500000	1.3073250e-44	1.2934150e-45	3.9225400e-44
26.750000	1.2335850e-44	1.2219750e-45	3.6850600e-44
27.000000	1.1644800e-44	1.1570400e-45	3.4684400e-44
27.250000	1.0997450e-44	1.0977300e-45	3.2698700e-44
27.500000	1.0397850e-44	1.0436350e-45	3.0892850e-44
27.750000	9.8375500e-45	9.9435000e-46	2.9241550e-44
28.000000	9.3209500e-45	9.4936500e-46	2.7716750e-44
28.250000	8.8371000e-45	9.0818500e-46	2.6281200e-44
28.500000	8.3766500e-45	8.7026000e-46	2.4942800e-44
28.750000	7.9480500e-45	8.3530500e-46	2.3717300e-44
29.000000	7.5480500e-45	8.0299000e-46	2.2608200e-44
29.250000	7.1723000e-45	7.7319000e-46	2.1534550e-44
29.500000	6.8184000e-45	7.4551000e-46	2.0536050e-44
29.750000	6.4867000e-45	7.1967500e-46	1.9653600e-44
30.000000	6.1756500e-45	6.9552500e-46	1.8806900e-44
30.250000	5.8811000e-45	6.7265000e-46	1.8013200e-44
30.500000	5.6052500e-45	6.5093500e-46	1.7279400e-44
30.750000	5.3440500e-45	6.3059500e-46	1.6604050e-44
31.000000	5.0986500e-45	6.1144500e-46	1.5937900e-44
31.250000	4.8685000e-45	5.9335000e-46	1.5310150e-44
31.500000	4.6510900e-45	5.7604500e-46	1.4722850e-44
31.750000	4.4457050e-45	5.5939000e-46	1.4169750e-44
32.000000	4.2535300e-45	5.4333000e-46	1.3653500e-44
32.250000	4.0717900e-45	5.2787000e-46	1.3161550e-44
32.500000	3.9003850e-45	5.1292500e-46	1.2686350e-44
32.750000	3.7390750e-45	4.9853850e-46	1.2236800e-44
33.000000	3.5852500e-45	4.8483450e-46	1.1821100e-44
33.250000	3.4402850e-45	4.7148750e-46	1.1430750e-44
33.500000	3.3027550e-45	4.5859200e-46	1.1058750e-44
33.750000	3.1733250e-45	4.4624300e-46	1.0703450e-44
34.000000	3.0499350e-45	4.3423100e-46	1.0369600e-44
34.250000	2.9325550e-45	4.2268550e-46	1.0072600e-44
34.500000	2.8217250e-45	4.1149150e-46	9.8403000e-45
34.750000	2.7177700e-45	4.0066550e-46	9.7093000e-45
35.000000	2.6182900e-45	3.9026400e-46	9.8888000e-45
35.250000	2.5243050e-45	3.8012700e-46	1.0682400e-44
35.500000	2.4354400e-45	3.7039350e-46	1.3113700e-44
35.750000	2.3504450e-45	3.6088350e-46	2.1608050e-44
36.000000	2.2685250e-45	3.5172550e-46	6.3148500e-44
36.250000	2.1912500e-45	3.4279000e-46	1.1088850e-42
36.500000	2.1165550e-45	3.3419200e-46	2.7867050e-43
36.750000	2.0453900e-45	3.2582300e-46	3.8304650e-44
37.000000	1.9772800e-45	3.1783800e-46	1.6077100e-44
37.250000	1.9123850e-45	3.1006300e-46	9.9827000e-45
37.500000	1.8503250e-45	3.0268000e-46	8.0447500e-45
37.750000	1.7902400e-45	2.9553350e-46	7.0439000e-45
38.000000	1.7321850e-45	2.8856800e-46	6.5477000e-45
38.250000	1.6777050e-45	2.8184550e-46	6.2357000e-45
38.500000	1.6260400e-45	2.7534250e-46	6.0024500e-45
38.750000	1.5769450e-45	2.6906800e-46	5.8155500e-45
39.000000	1.5296900e-45	2.6302050e-46	5.6466500e-45
39.250000	1.4846000e-45	2.5717650e-46	5.4800000e-45
39.500000	1.4416100e-45	2.5151300e-46	5.3343000e-45
39.750000	1.3996850e-45	2.4603700e-46	5.1915000e-45
40.000000	1.3600350e-45	2.4072700e-46	5.0554500e-45
40.250000	1.3223250e-45	2.3562350e-46	4.9209450e-45
40.500000	1.2863000e-45	2.3064400e-46	4.7911900e-45
40.750000	1.2516950e-45	2.2583500e-46	4.6646200e-45
41.000000	1.2181800e-45	2.2115900e-46	4.5421200e-45
41.250000	1.1866750e-45	2.1662150e-46	4.4212350e-45
41.500000	1.1561750e-45	2.1221400e-46	4.3064650e-45
41.750000	1.1265900e-45	2.0795800e-46	4.1984400e-45
42.000000	1.0987200e-45	2.0383050e-46	4.0912900e-45
42.250000	1.0714300e-45	1.9983000e-46	3.9889450e-45
42.500000	1.0450850e-45	1.9594650e-46	3.8853350e-45
42.750000	1.0199050e-45	1.9218500e-46	3.7869900e-45
43.000000	9.9540000e-46	1.8850350e-46	3.6914600e-45
43.250000	9.7204000e-46	1.8491550e-46	3.5987050e-45
43.500000	9.4938000e-46	1.8143400e-46	3.5108050e-45
43.750000	9.2791000e-46	1.7806100e-46	3.4256700e-45
44.000000	9.0689500e-46	1.7479700e-46	3.3432700e-45
44.250000	8.8687000e-46	1.7161050e-46	3.2631050e-45
44.500000	8.6728000e-46	1.6851050e-46	3.1858050e-45
44.750000	8.4835000e-46	1.6549150e-46	3.1106550e-45
45.000000	8.2995000e-46	1.6255250e-46	3.0370000e-45
45.250000	8.1223500e-46	1.5971450e-46	2.9657150e-45
45.500000	7.9540000e-46	1.5695050e-46	2.8971100e-45
45.750000	7.7892000e-46	1.5426250e-46	4.0486500e-45
46.000000	7.6302000e-46	1.5165450e-46	1.1342700e-44
46.250000	7.4773000e-46	1.4909900e-46	1.5745800e-44
46.500000	7.3294500e-46	1.4663750e-46	2.1920800e-44
46.750000	7.1871000e-46	1.4423800e-46	3.1533750e-44
