# Freq (Hz)	LIGO_Hanford_PSD (1/Hz)	LIGO_Livingston_PSD (1/Hz)	
20.000000	5.8746500e-44	3.9199750e-43
20.125000	5.5409750e-44	3.5874000e-43
20.250000	5.2273250e-44	3.2817000e-43
20.375000	4.9322750e-44	3.0011500e-43
20.500000	4.6574000e-44	2.7475500e-43
20.625000	4.3980750e-44	2.5180250e-43
20.750000	4.1545500e-44	2.3099100e-43
20.875000	3.9245250e-44	2.1208300e-43
21.000000	3.7094750e-44	1.9481050e-43
21.125000	3.5094250e-44	1.7903230e-43
21.250000	3.3208000e-44	1.6467430e-43
21.375000	3.1416500e-44	1.5162120e-43
21.500000	2.9740500e-44	1.3964330e-43
21.625000	2.8162500e-44	1.2868400e-43
21.750000	2.6667750e-44	1.1871720e-43
21.875000	2.5256500e-44	1.0971300e-43
22.000000	2.3924870e-44	1.0134250e-43
22.125000	2.2675400e-44	9.3819000e-44
22.250000	2.1499880e-44	8.6921750e-44
22.375000	2.0385000e-44	8.0542500e-44
22.500000	1.9337730e-44	7.4699000e-44
22.625000	1.8348200e-44	6.9332250e-44
22.750000	1.7416450e-44	6.4421000e-44
22.875000	1.6530230e-44	5.9880250e-44
23.000000	1.5693350e-44	5.5765000e-44
23.125000	1.4907570e-44	5.1901000e-44
23.250000	1.4163600e-44	4.8335000e-44
23.375000	1.3463720e-44	4.5069750e-44
23.500000	1.2802430e-44	4.2086750e-44
23.625000	1.2178220e-44	3.9369750e-44
23.750000	1.1590600e-44	3.6916250e-44
23.875000	1.1034520e-44	3.4566000e-44
24.000000	1.0507720e-44	3.2394500e-44
24.125000	1.0016580e-44	3.0383250e-44
24.250000	9.5509750e-45	2.8529000e-44
24.375000	9.1105750e-45	2.6804000e-44
24.500000	8.6937750e-45	2.5195750e-44
24.625000	8.2993000e-45	2.3717900e-44
24.750000	7.9269250e-45	2.2326400e-44
24.875000	7.5731750e-45	2.1040770e-44
25.000000	7.2368250e-45	1.9825980e-44
25.125000	6.9221250e-45	1.8694100e-44
25.250000	6.6306500e-45	1.7596750e-44
25.375000	6.3520250e-45	1.6595300e-44
25.500000	6.0935500e-45	1.5678630e-44
25.625000	5.8571500e-45	1.4846850e-44
25.750000	5.6425250e-45	1.4064200e-44
25.875000	5.4408250e-45	1.3328870e-44
26.000000	5.2622750e-45	1.2641650e-44
26.125000	5.1122250e-45	1.2000480e-44
26.250000	4.9875250e-45	1.1396100e-44
26.375000	4.8961750e-45	1.0826880e-44
26.500000	4.8459500e-45	1.0296450e-44
26.625000	4.8339000e-45	9.8004500e-45
26.750000	4.8884500e-45	9.3265750e-45
26.875000	5.0463500e-45	8.8785250e-45
27.000000	5.3980000e-45	8.4614500e-45
27.125000	6.1036500e-45	8.0669750e-45
27.250000	7.4668500e-45	7.6960750e-45
27.375000	9.9189250e-45	7.3482250e-45
27.500000	1.3095800e-44	7.0238750e-45
27.625000	1.6984900e-44	6.7124000e-45
27.750000	2.2150870e-44	6.4207500e-45
27.875000	2.7350000e-44	6.1465000e-45
28.000000	2.9430000e-44	5.8873750e-45
28.125000	2.5950500e-44	5.6419500e-45
28.250000	1.9078970e-44	5.4130750e-45
28.375000	1.3476430e-44	5.2017500e-45
28.500000	9.5394250e-45	4.9962750e-45
28.625000	6.7237000e-45	4.8015000e-45
28.750000	4.9473750e-45	4.6288000e-45
28.875000	3.8747500e-45	4.4890750e-45
29.000000	3.2279750e-45	4.3638500e-45
29.125000	2.8078750e-45	4.2560250e-45
29.250000	2.5071000e-45	4.1487500e-45
29.375000	2.2891520e-45	4.0385000e-45
29.500000	2.1197820e-45	3.9090250e-45
29.625000	1.9919780e-45	3.7894750e-45
29.750000	1.8843250e-45	3.6650250e-45
29.875000	1.7929420e-45	3.5439750e-45
30.000000	1.7074520e-45	3.4275250e-45
30.125000	1.6394480e-45	3.3109750e-45
30.250000	1.5822700e-45	3.1929500e-45
30.375000	1.5376550e-45	3.0657000e-45
30.500000	1.4937250e-45	2.9387250e-45
30.625000	1.4530720e-45	2.8155250e-45
30.750000	1.4140900e-45	2.7056000e-45
30.875000	1.3766830e-45	2.6074250e-45
31.000000	1.3401750e-45	2.5138000e-45
31.125000	1.3053170e-45	2.4361800e-45
31.250000	1.2716580e-45	2.3670450e-45
31.375000	1.2395480e-45	2.3006620e-45
31.500000	1.2081680e-45	2.2378850e-45
31.625000	1.1780550e-45	2.1783130e-45
31.750000	1.1490780e-45	2.1537620e-45
31.875000	1.1213750e-45	2.1156900e-45
32.000000	1.0947400e-45	2.0780030e-45
32.125000	1.0689900e-45	2.0486870e-45
32.250000	1.0441470e-45	2.0313250e-45
32.375000	1.0202700e-45	2.0435850e-45
32.500000	9.9719250e-46	2.0586220e-45
32.625000	9.7492750e-46	2.0953300e-45
32.750000	9.5367250e-46	2.1615650e-45
32.875000	9.3920000e-46	2.2875220e-45
33.000000	9.3639250e-46	2.5064750e-45
33.125000	9.2408000e-46	2.8299500e-45
33.250000	9.1512750e-46	3.3270250e-45
33.375000	9.1085500e-46	4.0781250e-45
33.500000	9.1178500e-46	5.2418250e-45
33.625000	9.2022750e-46	7.0883500e-45
33.750000	9.3892250e-46	1.0059780e-44
33.875000	9.7165500e-46	1.5089720e-44
34.000000	1.0285580e-45	2.4088100e-44
34.125000	1.1057500e-45	3.7440000e-44
34.250000	1.2228120e-45	6.3566250e-44
34.375000	1.3912220e-45	1.2343450e-43
34.500000	1.6429500e-45	3.1446000e-43
34.625000	2.0223250e-45	1.9304680e-42
34.750000	2.6014750e-45	5.7101750e-42
34.875000	3.5253250e-45	5.3367250e-43
35.000000	5.0380500e-45	3.0044000e-43
35.125000	7.6279750e-45	4.4363250e-43
35.250000	1.1297750e-44	4.0104000e-42
35.375000	1.6963430e-44	1.3578500e-42
35.500000	2.9089500e-44	2.3604700e-43
35.625000	6.2869750e-44	9.2374250e-44
35.750000	2.1371570e-43	4.5464250e-44
35.875000	4.1278000e-42	2.5624250e-44
36.000000	3.5691250e-43	1.5978130e-44
36.125000	9.0523500e-44	9.8853250e-45
36.250000	6.1741750e-44	6.5080500e-45
36.375000	9.2782500e-44	4.5341000e-45
36.500000	2.5713250e-43	3.3204000e-45
36.625000	1.5291200e-42	2.5430750e-45
36.750000	7.6555250e-42	2.0403620e-45
36.875000	4.6608500e-43	1.7075370e-45
37.000000	1.2298480e-43	1.4759050e-45
37.125000	4.2949250e-44	1.3123250e-45
37.250000	1.7400300e-44	1.1975900e-45
37.375000	7.6353500e-45	1.1145500e-45
37.500000	3.6483500e-45	1.0224180e-45
37.625000	1.8898120e-45	9.8132000e-46
37.750000	8.8157250e-46	9.5249250e-46
37.875000	7.5143500e-46	9.2802750e-46
38.000000	6.7345500e-46	9.0780000e-46
