# Freq (Hz)	LIGO_Hanford_PSD (1/Hz)	LIGO_Livingston_PSD (1/Hz)	Virgo_PSD (1/Hz)
20.000000	1.1983050e-43	1.1429250e-44	4.8406900e-43
20.250000	1.1136800e-43	9.7696000e-45	4.2787750e-43
20.500000	1.0346850e-43	8.3723500e-45	3.7828100e-43
20.750000	9.6142000e-44	7.2087000e-45	3.3512950e-43
21.000000	8.9469000e-44	6.2169500e-45	2.9643300e-43
21.250000	8.3238000e-44	5.3783500e-45	2.6331150e-43
21.500000	7.7471500e-44	4.6504050e-45	2.3388600e-43
21.750000	7.2122000e-44	4.0289950e-45	2.0830850e-43
22.000000	6.7131000e-44	3.5043550e-45	1.8584700e-43
22.250000	6.2517500e-44	3.0595850e-45	1.6655350e-43
22.500000	5.8208000e-44	2.6857000e-45	1.4933700e-43
22.750000	5.4264500e-44	2.3700800e-45	1.3447750e-43
23.000000	5.0572500e-44	2.0973950e-45	1.2128800e-43
23.250000	4.7127750e-44	1.8592000e-45	1.0979400e-43
23.500000	4.3974400e-44	1.6582250e-45	9.9706000e-44
23.750000	4.1034050e-44	1.4870350e-45	9.0855500e-44
24.000000	3.8305400e-44	1.3426300e-45	8.2888500e-44
24.250000	3.5770800e-44	1.2196150e-45	7.6062500e-44
24.500000	3.3431050e-44	1.1126900e-45	6.9899000e-44
24.750000	3.1230300e-44	1.0195300e-45	6.4366500e-44
25.000000	2.9194900e-44	9.3760000e-46	5.9525500e-44
25.250000	2.7318000e-44	8.6671500e-46	5.5165500e-44
25.500000	2.5565350e-44	8.0415500e-46	5.1230500e-44
25.750000	2.3922300e-44	7.4945000e-46	4.7654000e-44
26.000000	2.2396100e-44	7.0122500e-46	4.4472700e-44
26.250000	2.0975650e-44	6.5921500e-46	4.1522000e-44
26.500000	1.9654650e-44	6.2158500e-46	3.8882650e-44
26.750000	1.8424950e-44	5.8817000e-46	3.6539950e-44
27.000000	1.7282350e-44	5.5848000e-46	3.4415050e-44
27.250000	1.6223900e-44	5.3188000e-46	3.2480750e-44
27.500000	1.5235350e-44	5.0791500e-46	3.0670850e-44
27.750000	1.4315550e-44	4.8636700e-46	2.9060050e-44
28.000000	1.3454950e-44	4.6697600e-46	2.7579200e-44
28.250000	1.2651350e-44	4.4959900e-46	2.6229750e-44
28.500000	1.1904750e-44	4.3396750e-46	2.4992750e-44
28.750000	1.1207200e-44	4.1972900e-46	2.3846700e-44
29.000000	1.0553850e-44	4.0690350e-46	2.2759300e-44
29.250000	9.9443000e-45	3.9514500e-46	2.1780850e-44
29.500000	9.3757500e-45	3.8439400e-46	2.0906250e-44
29.750000	8.8431500e-45	3.7448900e-46	2.0067100e-44
30.000000	8.3497500e-45	3.6535200e-46	1.9280400e-44
30.250000	7.8894000e-45	3.5671100e-46	1.8546450e-44
30.500000	7.4595500e-45	3.4879000e-46	1.7866400e-44
30.750000	7.0543500e-45	3.4128800e-46	1.7210800e-44
31.000000	6.6765000e-45	3.3422350e-46	1.6595450e-44
31.250000	6.3215500e-45	3.2748200e-46	1.6018300e-44
31.500000	5.9878500e-45	3.2115350e-46	1.5463350e-44
31.750000	5.6757500e-45	3.1497550e-46	1.4936200e-44
32.000000	5.3855000e-45	3.0905650e-46	1.4442500e-44
32.250000	5.1120000e-45	3.0333050e-46	1.3979750e-44
32.500000	4.8557250e-45	2.9774200e-46	1.3527050e-44
32.750000	4.6170250e-45	2.9226250e-46	1.3104100e-44
33.000000	4.3906850e-45	2.8695550e-46	1.2704050e-44
33.250000	4.1795350e-45	2.8166300e-46	1.2363600e-44
33.500000	3.9813400e-45	2.7658600e-46	1.2022350e-44
33.750000	3.7940200e-45	2.7166550e-46	1.1719050e-44
34.000000	3.6168750e-45	2.6679400e-46	1.1457150e-44
34.250000	3.4503950e-45	2.6203500e-46	1.1310550e-44
34.500000	3.2940050e-45	2.5744450e-46	1.1394050e-44
