mass_ratio	chirp_mass	luminosity_distance	dec	ra	theta_jn	psi	phase	a_1	a_2	tilt_1	tilt_2	phi_12	phi_jl	geocent_time
0.24606	0.41707	0.26512	0.82791	0.57187	0.45168	0.09872	0.12764	0.18677	0.1883	0.15054	0.21341	0.11446	0.09946	0.85017
0.26854	0.41353	0.26357	0.8136	0.52076	0.4295	0.13806	0.08734	0.18813	0.1768	0.17362	0.16277	0.10422	0.08797	0.8192
0.25188	0.42561	0.29214	0.81184	0.53316	0.42902	0.13229	0.11622	0.22063	0.16895	0.18634	0.1684	0.08151	0.06782	0.82921
0.21537	0.39908	0.30336	0.82516	0.47702	0.46904	0.09099	0.19537	0.16757	0.17223	0.17372	0.21203	0.11322	0.10316	0.84252
0.27206	0.39056	0.25675	0.85783	0.53848	0.37289	0.11119	0.1697	0.18669	0.14055	0.15386	0.19918	0.09284	0.10356	0.81795
0.2322	0.38031	0.24226	0.82965	0.53995	0.40192	0.13578	0.13829	0.20998	0.18161	0.17015	0.16818	0.10797	0.07864	0.79956
0.22253	0.38305	0.28767	0.84117	0.49397	0.37364	0.09987	0.18486	0.21269	0.17113	0.16317	0.18529	0.14399	0.10556	0.83051
0.27297	0.39328	0.27989	0.79705	0.5703	0.45253	0.09132	0.12363	0.22017	0.22238	0.13288	0.18246	0.10581	0.09285	0.82899
0.23026	0.38027	0.22738	0.79058	0.49089	0.45253	0.11671	0.08912	0.17929	0.13301	0.18111	0.2457	0.11417	0.08913	0.83336
0.20178	0.38254	0.25494	0.81732	0.52707	0.45221	0.13824	0.14838	0.13256	0.13232	0.1482	0.17247	0.1145	0.09917	0.82674
0.21067	0.36545	0.25899	0.79225	0.5749	0.47253	0.11963	0.10107	0.16459	0.21624	0.16014	0.19754	0.11777	0.10906	0.81183
0.2396	0.41666	0.29962	0.81293	0.53043	0.41223	0.11477	0.11597	0.18258	0.19248	0.15898	0.19569	0.10353	0.09775	0.80424
0.25334	0.377	0.28236	0.78723	0.51737	0.39812	0.12163	0.09468	0.18071	0.20211	0.14074	0.1946	0.12336	0.10268	0.84623
0.24223	0.39148	0.26536	0.83186	0.50902	0.4292	0.1103	0.1386	0.19541	0.21109	0.15621	0.20263	0.14247	0.06664	0.81947
0.25013	0.39496	0.26004	0.80994	0.53768	0.49441	0.11388	0.11677	0.16978	0.12077	0.15261	0.18379	0.08697	0.10872	0.8265
0.28599	0.44131	0.27285	0.81871	0.50878	0.47692	0.12028	0.11656	0.18828	0.23674	0.15555	0.20521	0.1111	0.11195	0.81018
0.21286	0.41705	0.26271	0.82361	0.55625	0.38682	0.10861	0.13881	0.178	0.21137	0.18191	0.1801	0.09661	0.09989	0.81201
0.2587	0.43387	0.2218	0.78783	0.54886	0.42827	0.15746	0.12087	0.2218	0.14112	0.14948	0.16509	0.10454	0.09292	0.82021
0.24363	0.39812	0.26659	0.81716	0.54822	0.34397	0.11975	0.09711	0.17284	0.17356	0.13621	0.15607	0.11792	0.06721	0.83252
0.25717	0.39301	0.24021	0.78404	0.52965	0.45048	0.09223	0.19452	0.16555	0.20925	0.1543	0.15228	0.11468	0.09487	0.80877
0.24094	0.41888	0.24336	0.78867	0.48343	0.4208	0.13662	0.09669	0.16473	0.1585	0.14444	0.20002	0.06995	0.10793	0.8393
0.22859	0.38926	0.21958	0.80592	0.50884	0.41025	0.10951	0.10614	0.19333	0.17069	0.11823	0.20784	0.10035	0.08886	0.82544
0.1866	0.41861	0.28755	0.82697	0.5458	0.44891	0.09597	0.113	0.17017	0.1479	0.13171	0.26342	0.103	0.10047	0.83593
0.24529	0.45059	0.27186	0.80631	0.55368	0.46345	0.1028	0.12521	0.18876	0.16564	0.17439	0.20012	0.11492	0.09916	0.7948
0.24778	0.46795	0.2137	0.80367	0.52832	0.46321	0.12682	0.09372	0.20329	0.17204	0.1528	0.21087	0.10088	0.07502	0.81899
0.27014	0.43408	0.2523	0.79757	0.52579	0.44901	0.11138	0.12328	0.16534	0.17259	0.16747	0.2022	0.09882	0.0786	0.81638
0.279	0.39363	0.23677	0.84051	0.5638	0.51089	0.09511	0.09089	0.17484	0.18642	0.14495	0.18291	0.11689	0.08104	0.83997
0.24217	0.34854	0.28121	0.80429	0.54432	0.44507	0.11124	0.1142	0.19327	0.174	0.11622	0.22493	0.12272	0.0992	0.80185
0.21189	0.36405	0.28266	0.79924	0.52206	0.44799	0.12036	0.12718	0.17138	0.18542	0.15436	0.21658	0.07362	0.0977	0.97357
0.23509	0.39298	0.33206	0.82639	0.53425	0.45475	0.10683	0.1125	0.16834	0.16638	0.11705	0.22218	0.11894	0.07217	0.76144
0.2332	0.45749	0.25437	0.79611	0.48135	0.47044	0.13014	0.08543	0.17516	0.16941	0.16374	0.20217	0.12484	0.07608	0.7749
0.2488	0.42086	0.23913	0.79143	0.51787	0.41155	0.10224	0.11985	0.15318	0.16301	0.14339	0.1707	0.12777	0.08376	0.75988
0.24217	0.41278	0.2628	0.80231	0.52598	0.37411	0.10859	0.13229	0.17398	0.13849	0.13744	0.19095	0.12724	0.06615	0.76084
0.23774	0.39346	0.24658	0.78957	0.50857	0.50469	0.11012	0.09847	0.15825	0.16184	0.18163	0.19797	0.0975	0.06571	0.78965
0.233	0.38591	0.27769	0.80626	0.51074	0.43901	0.07414	0.10523	0.13618	0.1917	0.15742	0.20743	0.10495	0.11087	0.74363
0.21386	0.37217	0.24486	0.83238	0.54352	0.42743	0.11161	0.09869	0.19216	0.15355	0.21135	0.2362	0.09811	0.05499	0.75699
0.21505	0.40566	0.24559	0.78461	0.48809	0.40945	0.11669	0.10728	0.17638	0.17885	0.17972	0.18903	0.11667	0.0861	0.77351
0.18067	0.38039	0.25498	0.82473	0.51843	0.40447	0.09227	0.11018	0.18678	0.15534	0.11377	0.21796	0.09608	0.09401	0.74963
0.40914	0.38851	0.25312	0.80565	0.46592	0.52968	0.11646	0.10483	0.19174	0.17838	0.15596	0.19454	0.11308	0.11846	0.75718
0.28273	0.41231	0.3068	0.81518	0.49785	0.50969	0.11089	0.08846	0.17442	0.17247	0.13113	0.18071	0.07992	0.09246	0.75375
0.23397	0.39615	0.26582	0.79271	0.54439	0.34752	0.11439	0.09994	0.17188	0.14706	0.1537	0.18446	0.12429	0.08094	0.73256
0.52779	0.38348	0.28132	0.84076	0.51484	0.52384	0.12237	0.0928	0.19986	0.1499	0.13895	0.20791	0.089	0.0753	0.74548
0.3184	0.42067	0.23792	0.76887	0.5093	0.40988	0.12575	0.08975	0.12594	0.14741	0.14172	0.16917	0.11116	0.08356	0.75947
0.15445	0.44406	0.24012	0.82875	0.4957	0.33862	0.08425	0.12135	0.17826	0.18752	0.173	0.20629	0.11964	0.09455	0.7791
0.44093	0.38291	0.29704	0.78447	0.51751	0.42251	0.14784	0.11509	0.18915	0.18649	0.11847	0.20078	0.07537	0.07184	0.76818
