mass_1	mass_2	phase	time	distance	a_1	a_2	tilt_1	tilt_2	phi_12	phi_jl	theta_jn	psi	ra	dec
0.53672	0.67492	0.00049	0.8417	0.35046	0.01462	0.00498	0.03126	0.01764	0.00453	0.06465	0.21744	0.00579	0.92325	0.70853
0.56731	0.7251	0.00075	0.84787	0.32804	0.01276	0.00723	0.03233	0.0151	0.00281	0.06289	0.16591	0.00628	0.92048	0.7105
0.54166	0.70615	0.0008	0.8377	0.27994	0.02949	0.0123	0.03308	0.01957	0.00322	0.06757	0.20177	0.00488	0.92281	0.71189
0.58503	0.69589	0.0009	0.85056	0.30073	0.01567	0.00516	0.02447	0.01893	0.00087	0.05667	0.17686	0.0084	0.94055	0.71979
0.53513	0.62538	0.00145	0.85482	0.28501	0.02273	0.00611	0.03438	0.01798	0.00259	0.05594	0.25056	0.0074	0.93673	0.68859
0.60252	0.68643	0.00059	0.78546	0.34709	0.02219	0.00694	0.028	0.01912	0.00371	0.05806	0.22582	0.00733	0.91686	0.69853
0.55308	0.66067	0.00138	0.84423	0.27399	0.02501	0.00717	0.03135	0.02184	0.00487	0.04446	0.22416	0.00807	0.91363	0.70364
0.62968	0.56419	0.00089	0.87466	0.19973	0.01423	0.00349	0.02727	0.01378	0.00089	0.06449	0.25452	0.0056	0.93666	0.70664
0.58354	0.57764	0.00127	0.82066	0.23719	0.01697	0.00709	0.02806	0.02452	0.00405	0.06046	0.21204	0.00656	0.95148	0.72261
0.61717	0.56488	0.00097	0.82155	0.22089	0.01036	0.00461	0.0332	0.01951	0.00097	0.07104	0.2643	0.00714	0.93402	0.69517
0.57435	0.61176	0.00063	0.83924	0.20474	0.00927	0.00828	0.04988	0.01561	0.00414	0.08011	0.23979	0.00439	0.91598	0.68597
0.5454	0.68356	0.00145	0.89291	0.30232	0.01731	0.01201	0.02597	0.02342	0.00457	0.05434	0.23788	0.00648	0.95517	0.69436
0.57602	0.63461	0.00057	0.90058	0.32005	0.01014	0.01313	0.0387	0.01171	0.00413	0.04498	0.24659	0.00406	0.91466	0.72158
0.60604	0.80431	0.00066	0.84916	0.36618	0.00584	0.00362	0.03465	0.0141	0.00441	0.05589	0.2074	0.00606	0.89248	0.7151
0.5525	0.60699	0.00084	0.81411	0.21898	0.00309	0.00689	0.03925	0.01931	0.00152	0.06086	0.25152	0.0045	0.90984	0.69182
0.53436	0.65186	0.0007	0.80102	0.26261	0.00495	0.00805	0.03581	0.01848	0.00391	0.04406	0.2989	0.00526	0.91678	0.67499
0.52316	0.6209	0.00119	0.84263	0.27207	0.0048	0.00685	0.03117	0.01784	0.00384	0.03869	0.23158	0.00474	0.9418	0.66977
0.54098	0.62998	0.00088	0.83741	0.22555	0.01303	0.00792	0.02996	0.01416	0.00129	0.068	0.25877	0.00602	0.93706	0.66951
0.56214	0.61409	0.00174	0.7993	0.20852	0.00673	0.00541	0.04403	0.01855	0.0007	0.06515	0.28793	0.00515	0.93127	0.67484
0.53084	0.59672	0.00088	0.89206	0.2461	0.00801	0.00762	0.04723	0.01108	0.00298	0.05529	0.24722	0.00403	0.93079	0.6464
0.54454	0.58575	0.00087	0.86072	0.19972	0.00684	0.0095	0.0225	0.01108	0.00063	0.0572	0.26695	0.00512	0.91699	0.69476
0.63615	0.55994	0.00051	0.89192	0.19473	0.0083	0.00774	0.03059	0.01657	0.00314	0.04062	0.33503	0.00604	0.91718	0.68682
0.54817	0.6589	0.0006	0.83494	0.25269	0.00383	0.00623	0.04898	0.01858	0.00364	0.0539	0.22764	0.00469	0.95899	0.69872
0.57679	0.59917	0.00091	0.8445	0.2163	0.01867	0.00998	0.04501	0.01299	0.00055	0.0541	0.3552	0.00447	0.91304	0.67014
0.64072	0.61365	0.00114	0.87531	0.22304	0.01887	0.01259	0.03342	0.01435	0.00085	0.06603	0.35146	0.00448	0.91955	0.67338
0.68963	0.59892	0.0014	0.89621	0.19256	0.00729	0.00474	0.03721	0.01332	0.00097	0.04565	0.36834	0.00658	0.9388	0.66628
0.66544	0.6189	0.00054	0.84596	0.23641	0.02439	0.00885	0.0272	0.0176	0.00287	0.0756	0.34213	0.00448	0.94469	0.70181
0.54339	0.64747	0.00051	0.85579	0.23888	0.02901	0.00619	0.02695	0.01307	0.00118	0.0248	0.28046	0.00637	0.92425	0.66444
0.6525	0.62878	0.00078	0.8069	0.20656	0.01839	0.00991	0.03351	0.01492	0.00436	0.04178	0.34941	0.00405	0.91875	0.65522
0.67099	0.60502	0.00114	0.88143	0.16238	0.0035	0.00561	0.03368	0.01503	0.00334	0.04679	0.31971	0.00528	0.96725	0.648
0.69397	0.57676	0.00135	0.89051	0.20821	0.00622	0.00609	0.03727	0.01419	0.00358	0.05373	0.28611	0.00713	0.91903	0.65988
0.62476	0.59034	0.00064	0.86857	0.19995	0.01624	0.00848	0.02399	0.01341	0.00277	0.078	0.32097	0.00334	0.93659	0.69265
0.65399	0.59466	0.00122	0.87026	0.19829	0.0108	0.0092	0.02556	0.01338	0.00093	0.06519	0.27692	0.00655	0.93822	0.74062
0.73807	0.59668	0.00111	0.94785	0.19689	0.01942	0.00773	0.02684	0.01154	0.00434	0.07043	0.33437	0.00605	0.96921	0.73095
0.71877	0.63512	0.0009	0.82508	0.21273	0.00688	0.00856	0.05717	0.01888	0.00166	0.07083	0.3298	0.00473	0.95558	0.77037
0.71853	0.57204	0.00068	0.84669	0.19682	0.02111	0.01224	0.05005	0.01252	0.00125	0.0658	0.30919	0.00554	0.93475	0.76462
0.65989	0.58388	0.00082	0.85812	0.20355	0.00638	0.00987	0.0469	0.01678	0.00427	0.03793	0.36574	0.00462	0.93356	0.68459
0.72351	0.65066	0.00076	0.88833	0.20264	0.01344	0.0107	0.04737	0.01468	0.00228	0.0647	0.34876	0.00285	0.92827	0.77305
0.63868	0.61093	0.00046	0.88769	0.2171	0.02052	0.01205	0.04705	0.00999	0.00419	0.06295	0.30177	0.00568	0.94358	0.72783
0.65517	0.60898	0.00113	0.84431	0.21748	0.01945	0.00824	0.04154	0.01523	0.00088	0.08016	0.31645	0.00617	0.91336	0.74027
0.70231	0.60043	0.00076	0.86247	0.21101	0.01629	0.00535	0.04203	0.01693	0.0037	0.07374	0.3095	0.00469	0.9291	0.74955
0.68998	0.61584	0.00135	0.84677	0.16778	0.01955	0.00817	0.03876	0.01024	0.00037	0.08901	0.33515	0.00694	0.94031	0.68633
0.66221	0.61201	0.00085	0.85073	0.1924	0.01961	0.00993	0.03076	0.01552	0.0009	0.06436	0.28511	0.00699	0.92257	0.73194
0.63601	0.57153	0.00079	0.88878	0.23615	0.01872	0.01121	0.03667	0.01278	0.00277	0.08567	0.21708	0.00527	0.97517	0.85061
0.7369	0.63839	0.00139	0.90735	0.19888	0.01298	0.0092	0.05474	0.02139	0.00181	0.13155	0.27704	0.00298	0.9527	0.77995
