mass_ratio	chirp_mass	luminosity_distance	dec	ra	theta_jn	psi	phase	a_1	a_2	tilt_1	tilt_2	phi_12	phi_jl	geocent_time
0.33927	0.47336	0.4177	0.8382	0.47226	0.35552	0.13141	0.09135	0.18229	0.26946	0.18147	0.23488	0.12445	0.11483	0.81934
0.15442	0.31769	0.27883	0.71479	0.55941	0.31609	0.01892	0.02554	0.23469	0.12356	0.10779	0.11143	0.08172	0.05071	0.80311
0.156	0.31639	0.14656	0.74046	0.47934	0.39789	0.01511	0.01761	0.1181	0.1439	0.12297	0.08792	0.07517	0.0345	0.7933
0.42665	0.50019	0.41063	0.81511	0.48731	0.33445	0.13441	0.16897	0.3338	0.21525	0.18338	0.1807	0.11979	0.12875	0.82055
0.20693	0.31224	0.29931	0.75744	0.51771	0.3969	0.01459	0.02034	0.10867	0.13198	0.11992	0.12082	0.05564	0.06069	0.78187
0.35755	0.42114	0.48158	0.69481	0.42378	0.40898	0.13496	0.13493	0.23178	0.34248	0.15765	0.17712	0.1041	0.13515	0.85128
0.21578	0.27485	0.25054	0.78303	0.54104	0.37646	0.0109	0.02628	0.10722	0.123	0.12265	0.09392	0.0673	0.03484	0.80536
0.3707	0.44517	0.41986	0.83413	0.48485	0.46505	0.13293	0.1658	0.18904	0.23962	0.20783	0.19902	0.12134	0.10736	0.81503
0.2259	0.31697	0.27156	0.77326	0.55665	0.40821	0.0112	0.01882	0.1331	0.15576	0.10523	0.1104	0.05871	0.05509	0.82316
0.52037	0.42706	0.3667	0.82298	0.52593	0.43941	0.1344	0.10434	0.20789	0.19177	0.24958	0.1506	0.14474	0.13261	0.84054
0.19018	0.29075	0.24605	0.80122	0.57414	0.40992	0.00658	0.02044	0.13149	0.11964	0.10519	0.14147	0.17728	0.05778	0.78545
0.28084	0.45811	0.36007	0.77774	0.44217	0.45964	0.12031	0.08401	0.18942	0.13899	0.20055	0.18674	0.12018	0.12586	0.8147
0.18685	0.26453	0.30422	0.77327	0.52726	0.43479	0.02826	0.0375	0.13211	0.13689	0.10046	0.15226	0.07933	0.04312	0.81589
0.18947	0.28601	0.22888	0.78106	0.55335	0.37664	0.00343	0.0163	0.08019	0.12411	0.09495	0.11764	0.07598	0.05402	0.81459
0.5831	0.47049	0.48219	0.74322	0.52173	0.49642	0.12205	0.15012	0.20195	0.16138	0.22307	0.161	0.12145	0.11104	0.8427
0.24858	0.34607	0.29454	0.85812	0.51002	0.37985	0.02178	0.01345	0.11698	0.13002	0.08818	0.09697	0.05474	0.02778	0.81589
0.31575	0.47604	0.25939	0.88867	0.59496	0.36137	0.11576	0.16559	0.20535	0.17813	0.24348	0.19356	0.12833	0.13357	0.83175
0.20397	0.35991	0.28523	0.74944	0.51847	0.38012	0.0142	0.02841	0.14352	0.13662	0.1078	0.13467	0.04828	0.03032	0.8091
0.32442	0.45676	0.28861	0.73153	0.58928	0.35415	0.1516	0.13985	0.2963	0.30939	0.21923	0.19717	0.10844	0.10632	0.83209
0.1927	0.31613	0.24564	0.73882	0.5134	0.30305	0.01163	0.02806	0.10747	0.14614	0.10583	0.09489	0.05706	0.04874	0.76151
0.38916	0.535	0.3516	0.8413	0.4378	0.3714	0.1327	0.15397	0.16236	0.1857	0.21723	0.19061	0.14373	0.09449	0.8179
0.24284	0.30949	0.23218	0.73404	0.49964	0.35966	0.02	0.013	0.09662	0.14103	0.10934	0.14491	0.06488	0.05216	0.80431
0.28855	0.46147	0.35948	0.82927	0.53196	0.37892	0.13359	0.13929	0.2892	0.27731	0.17866	0.19899	0.14496	0.16092	0.77974
0.17938	0.295	0.28024	0.80199	0.6423	0.43992	0.00874	0.02612	0.04724	0.13107	0.10106	0.08276	0.06136	0.03154	0.82839
0.21681	0.32093	0.24417	0.74843	0.55638	0.35097	0.01091	0.02381	0.10849	0.11379	0.09204	0.08395	0.05977	0.02252	0.78922
0.46904	0.49135	0.33807	0.73378	0.4515	0.3851	0.10522	0.15488	0.19969	0.3017	0.20008	0.22823	0.11938	0.15855	0.79936
0.16974	0.31866	0.19691	0.77907	0.49982	0.42759	0.01474	0.03043	0.1575	0.16539	0.12414	0.11029	0.07017	0.04899	0.77349
0.32886	0.44444	0.45864	0.78952	0.59374	0.34487	0.10144	0.12431	0.20923	0.27898	0.14005	0.23606	0.15741	0.09082	0.83478
0.15942	0.32706	0.23301	0.75896	0.58202	0.43459	0.01318	0.01517	0.11296	0.12032	0.11324	0.11416	0.05732	0.03419	0.82023
0.3067	0.50615	0.43335	0.69685	0.48907	0.42209	0.09685	0.13854	0.24369	0.1785	0.1872	0.25699	0.1425	0.1077	0.81938
0.23035	0.32531	0.31946	0.77098	0.4477	0.43173	0.01615	0.03481	0.08499	0.13277	0.09178	0.08984	0.07593	0.05237	0.79251
0.46311	0.46789	0.36101	0.77859	0.60288	0.38002	0.1281	0.14378	0.21704	0.2742	0.20651	0.14708	0.14896	0.08323	0.83132
0.18137	0.36	0.22029	0.77042	0.55556	0.41113	0.02219	0.01058	0.12526	0.07225	0.07824	0.10039	0.05615	0.05577	0.82681
0.27726	0.47677	0.46504	0.85306	0.61666	0.41768	0.12475	0.13934	0.20028	0.24154	0.19093	0.15516	0.12198	0.08065	0.82322
0.2221	0.29355	0.25937	0.7676	0.47371	0.38784	0.01585	0.02906	0.10505	0.14501	0.14888	0.16737	0.05267	0.02486	0.77096
0.4536	0.48143	0.43446	0.79308	0.47985	0.52076	0.12588	0.15675	0.19799	0.1996	0.19686	0.24854	0.12605	0.08644	0.83283
0.19542	0.29965	0.17563	0.77183	0.49759	0.37396	0.014	0.03753	0.05226	0.1331	0.14349	0.0603	0.05543	0.04073	0.7936
0.17891	0.3348	0.24093	0.7717	0.5009	0.38475	0.0127	0.0183	0.07431	0.12081	0.10265	0.10216	0.0591	0.0528	0.83049
0.31882	0.45076	0.5031	0.7583	0.5176	0.65007	0.11667	0.15869	0.16362	0.20462	0.19035	0.21068	0.12944	0.10386	0.82116
0.2263	0.26999	0.20321	0.80373	0.51543	0.4421	0.01804	0.02743	0.08872	0.12531	0.10147	0.0959	0.06333	0.03909	0.80662
0.4155	0.54049	0.46937	0.76248	0.63581	0.40517	0.14173	0.11337	0.21995	0.16311	0.25432	0.20358	0.11367	0.14078	0.83598
0.15937	0.32748	0.17959	0.78668	0.48217	0.33691	0.01257	0.02059	0.1441	0.14135	0.0808	0.13003	0.04653	0.06774	0.82029
0.35423	0.55483	0.48262	0.7685	0.5651	0.43002	0.13969	0.15869	0.20298	0.20215	0.22136	0.18418	0.14544	0.15098	0.83972
0.1956	0.29862	0.21642	0.77854	0.49666	0.37672	0.01286	0.02154	0.11958	0.11443	0.12684	0.09157	0.05312	0.02816	0.78678
0.43227	0.48956	0.41924	0.7856	0.56642	0.28837	0.1502	0.11425	0.19867	0.16834	0.22257	0.19519	0.11875	0.11086	0.80244
0.17924	0.29049	0.21531	0.78591	0.51948	0.42797	0.00853	0.01099	0.11799	0.10511	0.08485	0.07683	0.05984	0.05274	0.78992
0.28324	0.48532	0.35477	0.81897	0.41367	0.52604	0.09219	0.15516	0.18893	0.37949	0.1839	0.18435	0.11563	0.14527	0.79629
0.12879	0.28137	0.20037	0.74157	0.44833	0.399	0.0181	0.00993	0.12673	0.14377	0.08312	0.1129	0.06738	0.04551	0.7858
0.13268	0.27655	0.1278	0.96886	0.40184	0.33208	0.01372	0.01551	0.32878	0.08096	0.12284	0.06253	0.06695	0.05397	0.77379
0.27556	0.55905	0.33741	0.7947	0.60245	0.38409	0.14671	0.15425	0.23079	0.17028	0.2453	0.22561	0.14508	0.091	0.79157
0.1715	0.32313	0.25576	0.7956	0.43335	0.41288	0.01082	0.02646	0.0895	0.08415	0.11318	0.08267	0.0576	0.05229	0.78454
0.21458	0.52042	0.42155	0.81515	0.76186	0.3573	0.10546	0.11562	0.22046	0.18266	0.17991	0.15806	0.11852	0.19671	0.85519
0.18368	0.30452	0.22171	0.83203	0.46978	0.41063	0.00774	0.01869	0.11383	0.22188	0.11448	0.11862	0.02616	0.03929	0.8238
0.45878	0.3924	0.36853	0.6877	0.71285	0.4821	0.08804	0.12919	0.18873	0.20657	0.21383	0.20358	0.16568	0.13448	0.78873
0.16087	0.28135	0.26669	0.79198	0.5731	0.44052	0.01747	0.02453	0.07608	0.17242	0.10985	0.12242	0.07809	0.04487	0.82426
0.23053	0.5267	0.41025	0.82864	0.55447	0.37839	0.13817	0.11757	0.32166	0.21323	0.19103	0.19381	0.12046	0.11165	0.81589
0.18019	0.29764	0.18917	0.81561	0.44113	0.37253	0.01301	0.02305	0.15426	0.12271	0.10239	0.08735	0.06587	0.05147	0.78911
0.32101	0.40042	0.4117	0.73943	0.7164	0.41622	0.13545	0.09926	0.27547	0.19277	0.17452	0.16943	0.12237	0.1566	0.82125
