mass_1	mass_2	phase	time	distance	a_1	a_2	tilt_1	tilt_2	phi_12	phi_jl	theta_jn	psi	ra	dec
0.2292	0.14761	0.00113	0.23519	0.07323	0.00856	0.02196	0.00893	0.00271	0.00275	0.0415	0.54025	0.00299	0.22079	0.74665
0.18603	0.13578	0.00089	0.22833	0.03236	0.00381	0.02199	0.00954	0.00979	0.00385	0.03158	0.61121	0.00238	0.27758	0.73231
0.17966	0.13907	0.00092	0.22706	0.07125	0.00481	0.0228	0.00374	0.00173	0.00322	0.05151	0.5594	0.00448	0.30388	0.73173
0.26683	0.15868	0.00105	0.20501	0.04166	0.0048	0.02125	0.00883	0.01424	0.00246	0.04792	0.60645	0.00493	0.33334	0.71995
0.15801	0.12055	0.00104	0.24528	0.07271	0.01823	0.02912	0.00848	0.00217	0.0017	0.05459	0.60937	0.00674	0.20174	0.76436
0.08248	0.08307	0.00071	0.20784	0.05832	0.00221	0.02031	0.0206	0.01673	0.00281	0.06329	0.6149	0.00793	0.27153	0.75292
0.18862	0.12823	0.00034	0.21729	0.03349	0.00318	0.02357	0.01018	0.00892	0.00216	0.03318	0.58377	0.00697	0.25112	0.73253
0.14042	0.11136	0.00103	0.20088	0.08472	0.01563	0.0382	0.00568	0.00389	0.00425	0.06487	0.63225	0.00876	0.28033	0.71367
0.12424	0.10268	0.00251	0.23366	0.03231	0.00118	0.01982	0.00725	0.01716	0.00311	0.05682	0.61034	0.00973	0.2989	0.70519
0.14765	0.14112	0.00075	0.18027	0.04486	0.00208	0.01953	0.01534	0.001	0.00388	0.03236	0.57608	0.00876	0.33607	0.71131
0.14858	0.12232	0.00055	0.17044	0.08979	0.00374	0.00992	0.00718	0.00387	0.00136	0.04988	0.57065	0.01102	0.25093	0.72079
0.2143	0.1236	0.00079	0.17412	0.04506	0.01461	0.02757	0.00234	0.0178	0.00357	0.05516	0.63138	0.00571	0.25985	0.72694
0.3259	0.1468	0.00031	0.18918	0.0581	0.007	0.02403	0.00657	0.04069	0.00195	0.03948	0.56906	0.01918	0.2778	0.6891
0.07188	0.088	0.00119	0.20256	0.04336	0.00198	0.01277	0.00923	0.0031	0.00159	0.02652	0.53559	0.01191	0.27947	0.67665
0.14621	0.11256	0.00157	0.19154	0.05455	0.00505	0.01492	0.00471	0.00191	0.00185	0.02693	0.51097	0.0061	0.31306	0.66721
0.0535	0.08761	0.00075	0.18707	0.06712	0.0014	0.01687	0.01597	0.00542	0.00296	0.03477	0.53608	0.00804	0.32781	0.68735
0.07428	0.0993	0.0008	0.18135	0.10327	0.01518	0.0137	0.0084	0.00184	0.00198	0.03431	0.56139	0.01086	0.32644	0.67584
0.06503	0.09061	0.00106	0.19953	0.07747	0.00794	0.01337	0.00668	0.00369	0.00193	0.05071	0.55135	0.01874	0.25672	0.65075
0.03924	0.06543	0.00075	0.18013	0.0679	0.00719	0.01868	0.00545	0.00024	0.00161	0.03765	0.5895	0.01901	0.28384	0.66989
0.18653	0.1097	0.00132	0.1924	0.08681	0.00192	0.02487	0.00448	0.02214	0.00233	0.05406	0.53786	0.01785	0.31142	0.66594
0.06425	0.09279	0.00054	0.16363	0.04775	0.00678	0.01801	0.00576	0.0061	0.00286	0.02003	0.47114	0.0172	0.30451	0.63858
0.03233	0.05219	0.0004	0.18029	0.07199	0.00056	0.0152	0.0119	0.00393	0.00074	0.03115	0.51213	0.0178	0.29764	0.63513
0.08417	0.0968	0.00081	0.18828	0.06245	0.00434	0.01754	0.00883	0.00723	0.00138	0.03138	0.48953	0.01314	0.30957	0.66416
0.13824	0.11554	0.00156	0.15697	0.04856	0.00647	0.01578	0.01549	0.01555	0.00153	0.04973	0.49388	0.01696	0.29232	0.65095
0.04895	0.08644	0.00143	0.18106	0.06535	0.00456	0.02932	0.00527	0.00661	0.00164	0.03658	0.48368	0.0171	0.34011	0.60719
0.13457	0.11176	0.00147	0.17449	0.04702	0.00656	0.01756	0.00285	0.00521	0.00147	0.03162	0.49085	0.01624	0.35432	0.57278
0.1579	0.10104	0.00089	0.15001	0.0753	0.00063	0.0125	0.00623	0.00201	0.00161	0.04926	0.50982	0.02643	0.29822	0.62424
0.08404	0.0747	0.00076	0.16495	0.07437	0.00703	0.0125	0.00256	0.00413	0.00162	0.04264	0.46599	0.03356	0.26269	0.60809
0.1019	0.09197	0.00085	0.14259	0.06423	0.01072	0.00628	0.00524	0.00252	0.00189	0.02453	0.42315	0.02736	0.26963	0.56375
0.04515	0.11068	0.00089	0.11302	0.05815	0.00358	0.02872	0.00568	0.00453	0.00076	0.01861	0.4345	0.01552	0.3003	0.54936
0.13728	0.0971	0.0008	0.11908	0.06963	0.00589	0.02638	0.01065	0.02204	0.00123	0.01819	0.43158	0.01141	0.29337	0.50759
0.05758	0.07941	0.00132	0.14679	0.0511	0.00404	0.01494	0.00395	0.01914	0.00111	0.01631	0.39515	0.01128	0.30724	0.497
0.07806	0.09051	0.00102	0.12459	0.03914	0.00766	0.01173	0.00402	0.00845	0.00142	0.01415	0.38453	0.00847	0.27265	0.49492
0.07112	0.07749	0.00073	0.11957	0.04448	0.00223	0.01453	0.02036	0.0012	0.00171	0.03319	0.40742	0.00533	0.29699	0.50597
0.07966	0.14197	0.00068	0.09418	0.03792	0.00303	0.02295	0.01014	0.02035	0.00142	0.02353	0.41001	0.00324	0.31547	0.54164
0.10359	0.08488	0.00216	0.08628	0.0437	0.00358	0.02245	0.00659	0.03142	0.0023	0.03248	0.50179	0.00281	0.26647	0.52074
0.20047	0.13877	0.00116	0.10245	0.0746	0.00822	0.01384	0.02558	0.0264	0.00489	0.00836	0.33919	0.00373	0.20104	0.45122
0.10794	0.10062	0.00083	0.10544	0.04072	0.00464	0.01209	0.00755	0.00301	0.00191	0.01626	0.29398	0.00598	0.24343	0.42188
0.12017	0.09568	0.00122	0.08878	0.04313	0.0012	0.00192	0.00554	0.01212	0.00163	0.02054	0.30637	0.00329	0.20441	0.39458
0.05334	0.068	0.00075	0.09309	0.03533	0.00326	0.01045	0.00716	0.00392	0.00373	0.0111	0.29965	0.00592	0.20831	0.35793
0.07645	0.05866	0.00155	0.14174	0.03613	0.00076	0.01367	0.00808	0.00452	0.00127	0.0035	0.27687	0.0123	0.21023	0.37607
0.06066	0.08419	0.00141	0.10013	0.03495	0.0233	0.02627	0.00423	0.00223	0.00261	0.01579	0.3231	0.0082	0.22119	0.38541
0.07735	0.0972	0.00063	0.06863	0.03981	0.00249	0.01823	0.01351	0.00416	0.00202	0.01232	0.256	0.00829	0.18906	0.33616
0.06818	0.08323	0.00091	0.15531	0.04072	0.01489	0.01	0.00327	0.01292	0.00154	0.01325	0.35177	0.0034	0.24061	0.32781
0.03656	0.07761	0.00069	0.10465	0.0314	0.01708	0.01356	0.00313	0.00811	0.00092	0.00776	0.38078	0.00341	0.22681	0.37508
0.03847	0.06367	0.00105	0.07052	0.02265	0.01675	0.01202	0.00281	0.00305	0.00121	0.00968	0.32458	0.00383	0.20294	0.37459
0.04956	0.07662	0.00128	0.08663	0.02557	0.01193	0.02154	0.0074	0.00395	0.00116	0.01845	0.34548	0.00269	0.15846	0.2955
