mass_1	mass_2	phase	time	distance	a_1	a_2	tilt_1	tilt_2	phi_12	phi_jl	theta_jn	psi	ra	dec
0.66281	0.57346	0.04745	0.74498	0.60016	0.09865	0.07565	0.01432	0.03153	0.04881	0.07261	0.45553	0.04783	0.48249	0.8007
0.6711	0.57198	0.04794	0.76438	0.60381	0.09625	0.07247	0.01634	0.02725	0.04668	0.07229	0.46151	0.04864	0.48551	0.80365
0.67975	0.58294	0.0463	0.74227	0.60791	0.09371	0.07124	0.01534	0.02565	0.04705	0.06839	0.4521	0.04666	0.48492	0.79839
0.68361	0.58139	0.04569	0.7799	0.5952	0.09435	0.07435	0.01508	0.0246	0.04697	0.07067	0.44583	0.04717	0.48457	0.80488
0.68153	0.57566	0.04639	0.77825	0.59757	0.09279	0.07505	0.01501	0.02569	0.04649	0.07037	0.44846	0.04693	0.47632	0.80559
0.67453	0.57621	0.04566	0.75514	0.59558	0.094	0.07356	0.01598	0.02618	0.04659	0.07045	0.44663	0.04831	0.47181	0.80448
0.67431	0.58242	0.04695	0.77805	0.59938	0.09444	0.07262	0.01595	0.02448	0.04566	0.0705	0.4464	0.04767	0.47533	0.80096
0.67389	0.58979	0.04614	0.75293	0.59444	0.09447	0.07403	0.01513	0.02448	0.0457	0.07013	0.45215	0.04671	0.47415	0.80001
0.66912	0.59349	0.04567	0.77768	0.59165	0.0948	0.07285	0.01473	0.02569	0.04626	0.06831	0.44737	0.04779	0.47765	0.80074
0.66019	0.59611	0.04671	0.76469	0.58466	0.09466	0.07237	0.01519	0.02507	0.04664	0.07096	0.44852	0.04735	0.48264	0.80365
0.66859	0.59108	0.04565	0.75819	0.59021	0.09273	0.07243	0.01551	0.0254	0.04619	0.0716	0.44939	0.04764	0.48294	0.80455
0.66221	0.59361	0.04756	0.77757	0.58872	0.09152	0.07224	0.01469	0.0244	0.04678	0.07003	0.45115	0.04709	0.48086	0.80178
0.66257	0.59823	0.04793	0.77693	0.59291	0.09355	0.07233	0.01564	0.02607	0.04546	0.07178	0.44957	0.04714	0.48091	0.80476
0.65838	0.58503	0.04649	0.78293	0.58924	0.09415	0.07313	0.0152	0.02429	0.04537	0.07106	0.44903	0.04709	0.47966	0.80494
0.67217	0.58967	0.04609	0.75526	0.58876	0.09414	0.07199	0.0161	0.02489	0.0458	0.07251	0.44572	0.04898	0.47917	0.79956
0.66634	0.5886	0.04642	0.78731	0.5856	0.09422	0.07252	0.01456	0.02692	0.04557	0.06948	0.44937	0.04579	0.48145	0.80058
0.67905	0.59332	0.04535	0.7839	0.58668	0.09155	0.07372	0.01516	0.02455	0.04486	0.06935	0.44703	0.04634	0.47834	0.79957
0.67708	0.58267	0.04737	0.77615	0.58413	0.09148	0.07413	0.01562	0.02491	0.04464	0.07002	0.44643	0.0467	0.47821	0.79872
0.68884	0.58388	0.04585	0.76612	0.59173	0.09197	0.07248	0.01481	0.02524	0.04414	0.07111	0.44789	0.0481	0.47396	0.79923
0.68235	0.58958	0.04558	0.78221	0.58731	0.0937	0.0724	0.01508	0.02622	0.04622	0.06978	0.44552	0.04707	0.47632	0.79914
0.67535	0.58535	0.04595	0.75258	0.58545	0.09266	0.07206	0.0147	0.02614	0.04614	0.06887	0.44555	0.04608	0.47614	0.80521
0.68546	0.58804	0.0454	0.77113	0.58229	0.0919	0.07248	0.01583	0.02517	0.04547	0.07039	0.44929	0.0476	0.4775	0.79593
0.67676	0.58268	0.04642	0.75516	0.5843	0.09293	0.07228	0.0161	0.02685	0.04531	0.06927	0.45134	0.04692	0.47647	0.79885
0.69262	0.57633	0.04731	0.77057	0.58183	0.09241	0.07313	0.01512	0.02608	0.04631	0.06937	0.44525	0.04842	0.48093	0.8081
0.69121	0.5802	0.04702	0.76062	0.58034	0.09221	0.07059	0.01403	0.02613	0.04543	0.06973	0.44607	0.04641	0.47548	0.80095
0.68623	0.58998	0.04675	0.76254	0.58074	0.09315	0.07287	0.01492	0.02618	0.0461	0.07151	0.44868	0.04764	0.46818	0.80488
0.67986	0.58505	0.04616	0.76772	0.57803	0.09305	0.07175	0.01589	0.02557	0.04459	0.06963	0.44956	0.04639	0.47573	0.80627
0.67301	0.57587	0.0466	0.78525	0.57711	0.09156	0.06936	0.01536	0.02684	0.04426	0.06976	0.4467	0.04822	0.47925	0.8007
0.6902	0.58968	0.04699	0.75575	0.57867	0.09038	0.07351	0.01536	0.02681	0.04503	0.06963	0.44763	0.04757	0.47085	0.79703
0.6846	0.59472	0.04714	0.78416	0.58142	0.09087	0.0738	0.01638	0.02801	0.04611	0.06938	0.4452	0.04639	0.47526	0.8061
0.67744	0.59316	0.04637	0.76848	0.57636	0.09287	0.07288	0.01486	0.0266	0.04548	0.06868	0.44674	0.0484	0.47941	0.80434
0.68637	0.58771	0.04643	0.77405	0.58119	0.08921	0.07232	0.01572	0.02615	0.04638	0.07036	0.44686	0.04767	0.47675	0.80217
