mass_1	mass_2	phase	time	distance	a_1	a_2	tilt_1	tilt_2	phi_12	phi_jl	theta_jn	psi	ra	dec
0.96197	0.89408	0.04709	0.83438	0.8069	0.11837	0.07756	0.0483	0.02225	0.04775	0.04781	0.26565	0.04691	0.64998	0.38521
0.95751	0.90125	0.0473	0.82369	0.80712	0.11428	0.07861	0.04748	0.02091	0.04816	0.04905	0.26363	0.04961	0.66023	0.38295
0.95896	0.89629	0.04685	0.83777	0.80497	0.10853	0.07862	0.04162	0.02123	0.04743	0.05007	0.26994	0.04639	0.66198	0.39831
0.96127	0.89478	0.04686	0.82622	0.81041	0.11747	0.07906	0.04797	0.02529	0.04637	0.04922	0.2638	0.04637	0.66598	0.39637
0.95578	0.8897	0.04837	0.81052	0.80762	0.11624	0.08002	0.04799	0.02328	0.0458	0.04738	0.26548	0.04538	0.66202	0.40117
0.96261	0.89983	0.04705	0.80968	0.80418	0.11333	0.07768	0.04406	0.02041	0.04557	0.04939	0.26495	0.04641	0.65652	0.3992
0.9586	0.88231	0.04666	0.83636	0.80395	0.11688	0.0786	0.04623	0.02216	0.0471	0.04927	0.26677	0.04632	0.65483	0.39572
0.95689	0.88383	0.048	0.83417	0.80676	0.11283	0.07616	0.04526	0.02092	0.04679	0.04809	0.26229	0.04704	0.64462	0.39558
0.95584	0.89344	0.04696	0.80837	0.80341	0.11818	0.07731	0.0474	0.02182	0.04568	0.04897	0.26422	0.04814	0.65064	0.39081
0.95878	0.90478	0.04888	0.81245	0.80575	0.11223	0.07709	0.04385	0.02151	0.04739	0.04926	0.26598	0.0466	0.67274	0.39022
0.9577	0.89144	0.04685	0.81539	0.80431	0.11428	0.07791	0.04724	0.02185	0.04553	0.04989	0.26384	0.04732	0.65589	0.38783
0.95702	0.8867	0.04688	0.84065	0.80152	0.11489	0.07855	0.04537	0.02228	0.047	0.0487	0.26521	0.04712	0.67006	0.39487
0.95752	0.89992	0.04894	0.82525	0.80186	0.11445	0.07922	0.04713	0.02192	0.04645	0.05047	0.26651	0.04567	0.66359	0.39127
0.95723	0.90306	0.04771	0.80621	0.79991	0.11594	0.07799	0.04577	0.02266	0.04679	0.0491	0.26423	0.04625	0.65905	0.39174
0.95881	0.90699	0.04703	0.84489	0.80692	0.112	0.07783	0.04835	0.02105	0.04739	0.05052	0.26644	0.04602	0.66545	0.40592
0.95814	0.89616	0.0478	0.80929	0.79486	0.11929	0.07748	0.0449	0.02205	0.04592	0.05025	0.267	0.04588	0.65558	0.39279
0.96058	0.89355	0.04796	0.81882	0.80236	0.11172	0.07785	0.04508	0.0207	0.04734	0.04864	0.2651	0.04691	0.65739	0.39373
0.95834	0.89768	0.04846	0.82771	0.79454	0.1188	0.07742	0.04542	0.02348	0.04668	0.04932	0.26471	0.04667	0.65527	0.39462
0.9571	0.90001	0.04768	0.7985	0.80102	0.11577	0.07931	0.0468	0.02238	0.04742	0.04952	0.26564	0.04757	0.64983	0.37611
0.95661	0.89717	0.04867	0.82199	0.80009	0.11004	0.0769	0.04621	0.02246	0.04669	0.04871	0.26896	0.04675	0.66587	0.40669
0.95659	0.90499	0.04558	0.79822	0.79339	0.11644	0.07833	0.04652	0.02261	0.04602	0.0485	0.26192	0.04744	0.65106	0.3944
0.95601	0.88599	0.04677	0.8339	0.80155	0.1154	0.07769	0.04448	0.02117	0.04769	0.04697	0.26385	0.04716	0.67318	0.40356
0.95807	0.88527	0.04767	0.81222	0.7917	0.11742	0.07672	0.04577	0.02154	0.04635	0.04847	0.26763	0.04615	0.65912	0.38844
0.95674	0.89735	0.04709	0.82843	0.80012	0.11267	0.07877	0.0445	0.02201	0.0469	0.04994	0.26759	0.04746	0.64554	0.38912
0.9573	0.89694	0.04705	0.81954	0.79017	0.11792	0.07853	0.04538	0.02274	0.04646	0.04931	0.26266	0.04699	0.65265	0.39274
0.95713	0.89903	0.04814	0.81186	0.79712	0.11557	0.07625	0.04792	0.02192	0.04671	0.04854	0.2658	0.04772	0.64776	0.39373
0.9604	0.89333	0.04757	0.81204	0.7925	0.11768	0.0782	0.04535	0.02234	0.0455	0.04803	0.26617	0.04608	0.65869	0.38753
0.95796	0.90052	0.04652	0.83792	0.79548	0.11427	0.07727	0.0435	0.02201	0.04746	0.04989	0.26508	0.04701	0.65293	0.40115
0.95563	0.89438	0.04783	0.84411	0.7917	0.11701	0.0786	0.04621	0.02284	0.04515	0.04839	0.26357	0.04727	0.65081	0.39451
