mass_1	mass_2	phase	time	distance	a_1	a_2	tilt_1	tilt_2	phi_12	phi_jl	theta_jn	psi	ra	dec
0.27891	0.30158	0.04968	0.57566	0.73118	0.04617	0.04651	0.02555	0.01204	0.04945	0.05844	0.11092	0.04929	0.22114	0.07882
0.29914	0.3227	0.04987	0.58189	0.72606	0.04471	0.0454	0.02252	0.01199	0.048	0.05673	0.11095	0.05029	0.20992	0.07697
0.30984	0.35959	0.0489	0.58697	0.72725	0.04217	0.04549	0.02136	0.01204	0.04602	0.05376	0.11125	0.04537	0.20191	0.0758
0.30918	0.36383	0.04749	0.58373	0.72791	0.04313	0.0452	0.02154	0.01197	0.0469	0.05381	0.11356	0.04497	0.21702	0.07389
0.31139	0.35663	0.04728	0.59128	0.72724	0.0443	0.04559	0.0224	0.01258	0.0471	0.05555	0.11656	0.04535	0.21951	0.07576
0.30431	0.35234	0.0471	0.59527	0.727	0.04255	0.04555	0.02203	0.01265	0.04679	0.05545	0.116	0.04632	0.21863	0.07674
0.30405	0.35247	0.04781	0.59493	0.72881	0.04259	0.0451	0.02183	0.01214	0.04658	0.05506	0.11994	0.04688	0.21961	0.07454
0.31175	0.3553	0.04702	0.58877	0.72881	0.04339	0.0455	0.02164	0.01243	0.04602	0.05503	0.11554	0.04559	0.21516	0.07529
0.3144	0.3642	0.04683	0.58555	0.72986	0.04371	0.04618	0.02052	0.01086	0.04657	0.05533	0.11426	0.04508	0.21245	0.07792
0.31103	0.36172	0.04907	0.5868	0.72797	0.04356	0.04425	0.02066	0.0114	0.04653	0.05483	0.11437	0.04542	0.21114	0.07672
0.31616	0.35319	0.04588	0.59457	0.72803	0.04232	0.04479	0.02249	0.01175	0.04715	0.05515	0.11553	0.04584	0.21212	0.07694
0.31216	0.35307	0.04678	0.59129	0.72957	0.04448	0.04641	0.02119	0.01214	0.04629	0.05489	0.11399	0.04507	0.20718	0.07661
0.31496	0.35618	0.04697	0.58809	0.72923	0.04322	0.04552	0.02129	0.01237	0.04599	0.05534	0.11542	0.04541	0.21125	0.07662
0.31405	0.35988	0.04662	0.58646	0.7298	0.04221	0.04521	0.02118	0.01219	0.04732	0.05516	0.11702	0.04595	0.20679	0.07677
0.31259	0.35926	0.04791	0.58326	0.72815	0.043	0.04587	0.0214	0.01251	0.04726	0.05559	0.11536	0.04637	0.20841	0.07549
0.31264	0.36192	0.04732	0.58532	0.72756	0.04305	0.04564	0.02107	0.01226	0.0472	0.05476	0.11497	0.04544	0.21591	0.07498
0.31616	0.36118	0.04647	0.59111	0.7274	0.04327	0.04501	0.02214	0.01214	0.04652	0.05539	0.11496	0.04674	0.21609	0.07662
0.31442	0.36473	0.04751	0.58667	0.72809	0.0442	0.04417	0.02144	0.01226	0.04656	0.05501	0.11673	0.04601	0.21239	0.07595
0.31589	0.36001	0.04708	0.59632	0.73103	0.04233	0.04488	0.02262	0.01194	0.04691	0.05511	0.11596	0.04593	0.20647	0.07436
